Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
WASTHO401,0,965,2145.0,Thomas Circle 4th floor retrace,401,,,,,,,,
WASTHO401,1,965,2060.0,Thomas Circle 4th floor retrace,401,,,,,,,,
WASTHO401,2,885,2060.0,Thomas Circle 4th floor retrace,401,,,,,,,,
WASTHO401,3,885,2145.0,Thomas Circle 4th floor retrace,401,,,,,,,,
WASTHO402,0,965,2145.0,Thomas Circle 4th floor retrace,402,,,,,,,,
WASTHO402,1,"1,050",2145.0,Thomas Circle 4th floor retrace,402,,,,,,,,
WASTHO402,2,"1,050",2060.0,Thomas Circle 4th floor retrace,402,,,,,,,,
WASTHO402,3,965,2060.0,Thomas Circle 4th floor retrace,402,,,,,,,,
WASTHO403,0,"1,005",2190.0,Thomas Circle 4th floor retrace,403,,,,,,,,
WASTHO403,1,885,2190.0,Thomas Circle 4th floor retrace,403,,,,,,,,
WASTHO403,2,885,2275.0,Thomas Circle 4th floor retrace,403,,,,,,,,
WASTHO403,3,"1,005",2275.0,Thomas Circle 4th floor retrace,403,,,,,,,,
WASTHO404,0,"1,005",2275.0,Thomas Circle 4th floor retrace,404,,,,,,,,
WASTHO404,1,"1,115",2275.0,Thomas Circle 4th floor retrace,404,,,,,,,,
WASTHO404,2,"1,115",2190.0,Thomas Circle 4th floor retrace,404,,,,,,,,
WASTHO404,3,"1,005",2190.0,Thomas Circle 4th floor retrace,404,,,,,,,,
WASTHO405,0,"1,050",2145.0,Thomas Circle 4th floor retrace,405,,,,,,,,
WASTHO405,1,"1,240",2145.0,Thomas Circle 4th floor retrace,405,,,,,,,,
WASTHO405,2,"1,240",2025.0,Thomas Circle 4th floor retrace,405,,,,,,,,
WASTHO405,3,"1,050",2025.0,Thomas Circle 4th floor retrace,405,,,,,,,,
WASTHO406,0,"1,115",2275.0,Thomas Circle 4th floor retrace,406,,,,,,,,
WASTHO406,1,"1,235",2275.0,Thomas Circle 4th floor retrace,406,,,,,,,,
WASTHO406,2,"1,235",2190.0,Thomas Circle 4th floor retrace,406,,,,,,,,
WASTHO406,3,"1,115",2190.0,Thomas Circle 4th floor retrace,406,,,,,,,,
WASTHO407,0,"1,235",2275.0,Thomas Circle 4th floor retrace,407,,,,,,,,
WASTHO407,1,"1,345",2275.0,Thomas Circle 4th floor retrace,407,,,,,,,,
WASTHO407,2,"1,345",2190.0,Thomas Circle 4th floor retrace,407,,,,,,,,
WASTHO407,3,"1,235",2190.0,Thomas Circle 4th floor retrace,407,,,,,,,,
WASTHO408,0,"1,345",2275.0,Thomas Circle 4th floor retrace,408,,,,,,,,
WASTHO408,1,"1,470",2275.0,Thomas Circle 4th floor retrace,408,,,,,,,,
WASTHO408,2,"1,470",2190.0,Thomas Circle 4th floor retrace,408,,,,,,,,
WASTHO408,3,"1,345",2190.0,Thomas Circle 4th floor retrace,408,,,,,,,,
WASTHO409,0,"1,240",2145.0,Thomas Circle 4th floor retrace,409,,,,,,,,
WASTHO409,1,"1,465",2145.0,Thomas Circle 4th floor retrace,409,,,,,,,,
WASTHO409,2,"1,465",2025.0,Thomas Circle 4th floor retrace,409,,,,,,,,
WASTHO409,3,"1,240",2025.0,Thomas Circle 4th floor retrace,409,,,,,,,,
WASTHO410,0,"1,470",2275.0,Thomas Circle 4th floor retrace,410,,,,,,,,
WASTHO410,1,"1,575",2275.0,Thomas Circle 4th floor retrace,410,,,,,,,,
WASTHO410,2,"1,575",2190.0,Thomas Circle 4th floor retrace,410,,,,,,,,
WASTHO410,3,"1,470",2190.0,Thomas Circle 4th floor retrace,410,,,,,,,,
WASTHO411,0,"1,575",2275.0,Thomas Circle 4th floor retrace,411,,,,,,,,
WASTHO411,1,"1,695",2275.0,Thomas Circle 4th floor retrace,411,,,,,,,,
WASTHO411,2,"1,695",2190.0,Thomas Circle 4th floor retrace,411,,,,,,,,
WASTHO411,3,"1,575",2190.0,Thomas Circle 4th floor retrace,411,,,,,,,,
WASTHO412,0,"1,465",2145.0,Thomas Circle 4th floor retrace,412,,,,,,,,
WASTHO412,1,"1,700",2145.0,Thomas Circle 4th floor retrace,412,,,,,,,,
WASTHO412,2,"1,700",2025.0,Thomas Circle 4th floor retrace,412,,,,,,,,
WASTHO412,3,"1,465",2025.0,Thomas Circle 4th floor retrace,412,,,,,,,,
WASTHO413,0,"1,695",2275.0,Thomas Circle 4th floor retrace,413,,,,,,,,
WASTHO413,1,"1,800",2275.0,Thomas Circle 4th floor retrace,413,,,,,,,,
WASTHO413,2,"1,800",2190.0,Thomas Circle 4th floor retrace,413,,,,,,,,
WASTHO413,3,"1,695",2190.0,Thomas Circle 4th floor retrace,413,,,,,,,,
WASTHO414,0,"1,700",2145.0,Thomas Circle 4th floor retrace,414,,,,,,,,
WASTHO414,1,"1,835",2145.0,Thomas Circle 4th floor retrace,414,,,,,,,,
WASTHO414,2,"1,835",2025.0,Thomas Circle 4th floor retrace,414,,,,,,,,
WASTHO414,3,"1,700",2025.0,Thomas Circle 4th floor retrace,414,,,,,,,,
WASTHO415,0,"1,800",2275.0,Thomas Circle 4th floor retrace,415,,,,,,,,
