Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
WASTHO001,0,875,295.0,Thomas Circle Retrace,1,,,,,,,,
WASTHO001,1,875,195.0,Thomas Circle Retrace,1,,,,,,,,
WASTHO001,2,750,195.0,Thomas Circle Retrace,1,,,,,,,,
WASTHO001,3,710,250.0,Thomas Circle Retrace,1,,,,,,,,
WASTHO001,4,770,295.0,Thomas Circle Retrace,1,,,,,,,,
WASTHO002,0,875,295.0,Thomas Circle Retrace,2,,,,,,,,
WASTHO002,1,990,295.0,Thomas Circle Retrace,2,,,,,,,,
WASTHO002,2,990,195.0,Thomas Circle Retrace,2,,,,,,,,
WASTHO002,3,875,195.0,Thomas Circle Retrace,2,,,,,,,,
WASTHO003,0,990,295.0,Thomas Circle Retrace,3,,,,,,,,
WASTHO003,1,"1,110",295.0,Thomas Circle Retrace,3,,,,,,,,
WASTHO003,2,"1,110",195.0,Thomas Circle Retrace,3,,,,,,,,
WASTHO003,3,990,195.0,Thomas Circle Retrace,3,,,,,,,,
WASTHO004,0,"1,110",295.0,Thomas Circle Retrace,4,,,,,,,,
WASTHO004,1,"1,225",295.0,Thomas Circle Retrace,4,,,,,,,,
WASTHO004,2,"1,225",195.0,Thomas Circle Retrace,4,,,,,,,,
WASTHO004,3,"1,110",195.0,Thomas Circle Retrace,4,,,,,,,,
WASTHO005,0,"1,225",295.0,Thomas Circle Retrace,5,,,,,,,,
WASTHO005,1,"1,340",295.0,Thomas Circle Retrace,5,,,,,,,,
WASTHO005,2,"1,340",195.0,Thomas Circle Retrace,5,,,,,,,,
WASTHO005,3,"1,225",195.0,Thomas Circle Retrace,5,,,,,,,,
WASTHO006,0,"1,340",295.0,Thomas Circle Retrace,6,,,,,,,,
WASTHO006,1,"1,455",295.0,Thomas Circle Retrace,6,,,,,,,,
WASTHO006,2,"1,455",195.0,Thomas Circle Retrace,6,,,,,,,,
WASTHO006,3,"1,340",195.0,Thomas Circle Retrace,6,,,,,,,,
WASTHO007,0,"1,455",295.0,Thomas Circle Retrace,7,,,,,,,,
WASTHO007,1,"1,570",295.0,Thomas Circle Retrace,7,,,,,,,,
WASTHO007,2,"1,570",195.0,Thomas Circle Retrace,7,,,,,,,,
WASTHO007,3,"1,455",195.0,Thomas Circle Retrace,7,,,,,,,,
WASTHO008,0,"1,570",295.0,Thomas Circle Retrace,8,,,,,,,,
WASTHO008,1,"1,685",295.0,Thomas Circle Retrace,8,,,,,,,,
WASTHO008,2,"1,685",195.0,Thomas Circle Retrace,8,,,,,,,,
WASTHO008,3,"1,570",195.0,Thomas Circle Retrace,8,,,,,,,,
