Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
TORFIDI1201,0,1525,2710.0,Toronto Fidi,1201,,,,,,,,
TORFIDI1201,1,1525,2610.0,Toronto Fidi,1201,,,,,,,,
TORFIDI1201,2,1600,2610.0,Toronto Fidi,1201,,,,,,,,
TORFIDI1201,3,1600,2710.0,Toronto Fidi,1201,,,,,,,,
TORFIDI1202,0,1600,2710.0,Toronto Fidi,1202,,,,,,,,
TORFIDI1202,1,1600,2610.0,Toronto Fidi,1202,,,,,,,,
TORFIDI1202,2,1695,2610.0,Toronto Fidi,1202,,,,,,,,
TORFIDI1202,3,1695,2710.0,Toronto Fidi,1202,,,,,,,,
TORFIDI1203,0,1695,2710.0,Toronto Fidi,1203,,,,,,,,
TORFIDI1203,1,1695,2610.0,Toronto Fidi,1203,,,,,,,,
TORFIDI1203,2,1780,2610.0,Toronto Fidi,1203,,,,,,,,
TORFIDI1203,3,1780,2710.0,Toronto Fidi,1203,,,,,,,,
TORFIDI1204,0,1780,2710.0,Toronto Fidi,1204,,,,,,,,
TORFIDI1204,1,1780,2610.0,Toronto Fidi,1204,,,,,,,,
TORFIDI1204,2,1880,2610.0,Toronto Fidi,1204,,,,,,,,
TORFIDI1204,3,1880,2710.0,Toronto Fidi,1204,,,,,,,,
TORFIDI1205,0,1790,2885.0,Toronto Fidi,1205,,,,,,,,
TORFIDI1205,1,1790,2745.0,Toronto Fidi,1205,,,,,,,,
TORFIDI1205,2,1905,2745.0,Toronto Fidi,1205,,,,,,,,
TORFIDI1205,3,1905,2885.0,Toronto Fidi,1205,,,,,,,,
TORFIDI1206,0,1880,2710.0,Toronto Fidi,1206,,,,,,,,
TORFIDI1206,1,1880,2610.0,Toronto Fidi,1206,,,,,,,,
TORFIDI1206,2,2030,2610.0,Toronto Fidi,1206,,,,,,,,
TORFIDI1206,3,2030,2710.0,Toronto Fidi,1206,,,,,,,,
TORFIDI1207,0,1905,2745.0,Toronto Fidi,1207,,,,,,,,
TORFIDI1207,1,1970,2745.0,Toronto Fidi,1207,,,,,,,,
TORFIDI1207,2,1970,2855.0,Toronto Fidi,1207,,,,,,,,
TORFIDI1207,3,1905,2855.0,Toronto Fidi,1207,,,,,,,,
TORFIDI1208,0,2030,2710.0,Toronto Fidi,1208,,,,,,,,
TORFIDI1208,1,2030,2610.0,Toronto Fidi,1208,,,,,,,,
TORFIDI1208,2,2155,2610.0,Toronto Fidi,1208,,,,,,,,
TORFIDI1208,3,2155,2710.0,Toronto Fidi,1208,,,,,,,,
TORFIDI1209,0,2155,2710.0,Toronto Fidi,1209,,,,,,,,
TORFIDI1209,1,2155,2610.0,Toronto Fidi,1209,,,,,,,,
TORFIDI1209,2,2295,2610.0,Toronto Fidi,1209,,,,,,,,
TORFIDI1209,3,2295,2710.0,Toronto Fidi,1209,,,,,,,,
TORFIDI1210,0,2295,2710.0,Toronto Fidi,1210,,,,,,,,
TORFIDI1210,1,2295,2610.0,Toronto Fidi,1210,,,,,,,,
TORFIDI1210,2,2465,2610.0,Toronto Fidi,1210,,,,,,,,
TORFIDI1210,3,2465,2710.0,Toronto Fidi,1210,,,,,,,,
TORFIDI1211,0,2465,2710.0,Toronto Fidi,1211,,,,,,,,
TORFIDI1211,1,2465,2810.0,Toronto Fidi,1211,,,,,,,,
TORFIDI1211,2,2345,2810.0,Toronto Fidi,1211,,,,,,,,
TORFIDI1211,3,2345,2710.0,Toronto Fidi,1211,,,,,,,,
TORFIDI1212,0,2230,2745.0,Toronto Fidi,1212,,,,,,,,
TORFIDI1212,1,2230,2810.0,Toronto Fidi,1212,,,,,,,,
TORFIDI1212,2,2310,2810.0,Toronto Fidi,1212,,,,,,,,
TORFIDI1212,3,2310,2745.0,Toronto Fidi,1212,,,,,,,,
TORFIDI1213,0,2230,2810.0,Toronto Fidi,1213,,,,,,,,
TORFIDI1213,1,2310,2810.0,Toronto Fidi,1213,,,,,,,,
TORFIDI1213,2,2310,2875.0,Toronto Fidi,1213,,,,,,,,
TORFIDI1213,3,2230,2875.0,Toronto Fidi,1213,,,,,,,,
TORFIDI1214,0,2345,2810.0,Toronto Fidi,1214,,,,,,,,
TORFIDI1214,1,2465,2810.0,Toronto Fidi,1214,,,,,,,,
TORFIDI1214,2,2465,3020.0,Toronto Fidi,1214,,,,,,,,
TORFIDI1214,3,2345,3020.0,Toronto Fidi,1214,,,,,,,,
TORFIDI1215,0,2345,3020.0,Toronto Fidi,1215,,,,,,,,
TORFIDI1215,1,2465,3020.0,Toronto Fidi,1215,,,,,,,,
TORFIDI1215,2,2465,3175.0,Toronto Fidi,1215,,,,,,,,
TORFIDI1215,3,2365,3175.0,Toronto Fidi,1215,,,,,,,,
TORFIDI1215,4,2365,3070.0,Toronto Fidi,1215,,,,,,,,
