Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
NYCTWR201,0,1390,2170.0,Tower 49,201,,,,,,,,
NYCTWR201,1,1325,2170.0,Tower 49,201,,,,,,,,
NYCTWR201,2,1325,2060.0,Tower 49,201,,,,,,,,
NYCTWR201,3,730,2060.0,Tower 49,201,,,,,,,,
NYCTWR201,4,730,2090.0,Tower 49,201,,,,,,,,
NYCTWR201,5,1125,2490.0,Tower 49,201,,,,,,,,
NYCTWR201,6,1390,2490.0,Tower 49,201,,,,,,,,
NYCTWR202,0,1390,2490.0,Tower 49,202,,,,,,,,
NYCTWR202,1,1755,2490.0,Tower 49,202,,,,,,,,
NYCTWR202,2,1755,2170.0,Tower 49,202,,,,,,,,
NYCTWR202,3,1390,2170.0,Tower 49,202,,,,,,,,
NYCTWR203,0,1755,2490.0,Tower 49,203,,,,,,,,
NYCTWR203,1,1940,2490.0,Tower 49,203,,,,,,,,
NYCTWR203,2,1940,2170.0,Tower 49,203,,,,,,,,
NYCTWR203,3,1755,2170.0,Tower 49,203,,,,,,,,
NYCTWR204,0,1940,2490.0,Tower 49,204,,,,,,,,
NYCTWR204,1,2125,2490.0,Tower 49,204,,,,,,,,
NYCTWR204,2,2125,2170.0,Tower 49,204,,,,,,,,
NYCTWR204,3,1940,2170.0,Tower 49,204,,,,,,,,
NYCTWR205,0,2125,2490.0,Tower 49,205,,,,,,,,
NYCTWR205,1,2310,2490.0,Tower 49,205,,,,,,,,
NYCTWR205,2,2310,2170.0,Tower 49,205,,,,,,,,
NYCTWR205,3,2125,2170.0,Tower 49,205,,,,,,,,
NYCTWR206,0,2310,2490.0,Tower 49,206,,,,,,,,
NYCTWR206,1,2640,2490.0,Tower 49,206,,,,,,,,
NYCTWR206,2,3030,2100.0,Tower 49,206,,,,,,,,
NYCTWR206,3,3030,1670.0,Tower 49,206,,,,,,,,
NYCTWR206,4,2350,1670.0,Tower 49,206,,,,,,,,
NYCTWR206,5,2350,2070.0,Tower 49,206,,,,,,,,
NYCTWR206,6,2310,2070.0,Tower 49,206,,,,,,,,
NYCTWR207,0,2350,2070.0,Tower 49,207,,,,,,,,
NYCTWR207,1,2255,2070.0,Tower 49,207,,,,,,,,
NYCTWR207,2,2255,1945.0,Tower 49,207,,,,,,,,
NYCTWR207,3,2350,1945.0,Tower 49,207,,,,,,,,
NYCTWR208,0,2255,1945.0,Tower 49,208,,,,,,,,
NYCTWR208,1,2255,1805.0,Tower 49,208,,,,,,,,
NYCTWR208,2,2350,1805.0,Tower 49,208,,,,,,,,
NYCTWR208,3,2350,1945.0,Tower 49,208,,,,,,,,
NYCTWR209,0,2255,1805.0,Tower 49,209,,,,,,,,
NYCTWR209,1,2255,1670.0,Tower 49,209,,,,,,,,
NYCTWR209,2,2350,1670.0,Tower 49,209,,,,,,,,
NYCTWR209,3,2350,1805.0,Tower 49,209,,,,,,,,
NYCTWR210,0,2565,850.0,Tower 49,210,,,,,,,,
NYCTWR210,1,2565,470.0,Tower 49,210,,,,,,,,
NYCTWR210,2,2235,470.0,Tower 49,210,,,,,,,,
NYCTWR210,3,2235,850.0,Tower 49,210,,,,,,,,
NYCTWR211,0,2565,470.0,Tower 49,211,,,,,,,,
NYCTWR211,1,2565,430.0,Tower 49,211,,,,,,,,
NYCTWR211,2,2170,35.0,Tower 49,211,,,,,,,,
NYCTWR211,3,2060,35.0,Tower 49,211,,,,,,,,
NYCTWR211,4,2065,405.0,Tower 49,211,,,,,,,,
NYCTWR211,5,2235,405.0,Tower 49,211,,,,,,,,
NYCTWR211,6,2235,470.0,Tower 49,211,,,,,,,,
NYCTWR212,0,2065,405.0,Tower 49,212,,,,,,,,
NYCTWR212,1,1875,405.0,Tower 49,212,,,,,,,,
NYCTWR212,2,1875,35.0,Tower 49,212,,,,,,,,
NYCTWR212,3,2060,35.0,Tower 49,212,,,,,,,,
NYCTWR213,0,1875,405.0,Tower 49,213,,,,,,,,
NYCTWR213,1,1565,410.0,Tower 49,213,,,,,,,,
NYCTWR213,2,1565,35.0,Tower 49,213,,,,,,,,
NYCTWR213,3,1875,35.0,Tower 49,213,,,,,,,,
NYCTWR214,0,1565,410.0,Tower 49,214,,,,,,,,
NYCTWR214,1,1260,410.0,Tower 49,214,,,,,,,,
NYCTWR214,2,1255,35.0,Tower 49,214,,,,,,,,
NYCTWR214,3,1565,35.0,Tower 49,214,,,,,,,,
NYCTWR215,0,1255,35.0,Tower 49,215,,,,,,,,
NYCTWR215,1,1085,35.0,Tower 49,215,,,,,,,,
NYCTWR215,2,1085,370.0,Tower 49,215,,,,,,,,
NYCTWR215,3,1260,370.0,Tower 49,215,,,,,,,,
NYCTWR216,0,1085,35.0,Tower 49,216,,,,,,,,
NYCTWR216,1,670,35.0,Tower 49,216,,,,,,,,
NYCTWR216,2,265,440.0,Tower 49,216,,,,,,,,
NYCTWR216,3,265,850.0,Tower 49,216,,,,,,,,
NYCTWR216,4,1085,845.0,Tower 49,216,,,,,,,,
NYCTWR301,0,1385,2180.0,Tower 49,301,,,,,,,,
NYCTWR301,1,1330,2180.0,Tower 49,301,,,,,,,,
NYCTWR301,2,1330,2065.0,Tower 49,301,,,,,,,,
NYCTWR301,3,725,2065.0,Tower 49,301,,,,,,,,
NYCTWR301,4,725,2110.0,Tower 49,301,,,,,,,,
NYCTWR301,5,1120,2505.0,Tower 49,301,,,,,,,,
NYCTWR301,6,1385,2505.0,Tower 49,301,,,,,,,,
NYCTWR302,0,1385,2505.0,Tower 49,302,,,,,,,,
NYCTWR302,1,1755,2505.0,Tower 49,302,,,,,,,,
NYCTWR302,2,1755,2180.0,Tower 49,302,,,,,,,,
NYCTWR302,3,1385,2180.0,Tower 49,302,,,,,,,,
NYCTWR303,0,1755,2505.0,Tower 49,303,,,,,,,,
NYCTWR303,1,1940,2505.0,Tower 49,303,,,,,,,,
NYCTWR303,2,1940,2180.0,Tower 49,303,,,,,,,,
NYCTWR303,3,1755,2180.0,Tower 49,303,,,,,,,,
NYCTWR304,0,1940,2505.0,Tower 49,304,,,,,,,,
NYCTWR304,1,2125,2505.0,Tower 49,304,,,,,,,,
NYCTWR304,2,2125,2180.0,Tower 49,304,,,,,,,,
NYCTWR304,3,1940,2180.0,Tower 49,304,,,,,,,,
NYCTWR305,0,1975,2105.0,Tower 49,305,,,,,,,,
NYCTWR305,1,2155,2105.0,Tower 49,305,,,,,,,,
NYCTWR305,2,2155,1945.0,Tower 49,305,,,,,,,,
NYCTWR305,3,1975,1945.0,Tower 49,305,,,,,,,,
NYCTWR306,0,2125,2505.0,Tower 49,306,,,,,,,,
