Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
NYCAOACAN-A,0,2172,1192.5,Tribeca Avenue of the Americas,,,,,,,,,
NYCAOACAN-A,1,2062,1191.5,Tribeca Avenue of the Americas,,,,,,,,,
NYCAOACAN-A,2,2060.75,1457.0,Tribeca Avenue of the Americas,,,,,,,,,
NYCAOACAN-A,3,1957.75,1457.0,Tribeca Avenue of the Americas,,,,,,,,,
NYCAOACAN-A,4,1957.75,1273.0,Tribeca Avenue of the Americas,,,,,,,,,
NYCAOACAN-A,5,1822.75,1273.0,Tribeca Avenue of the Americas,,,,,,,,,
NYCAOACAN-A,6,1822.75,1162.0,Tribeca Avenue of the Americas,,,,,,,,,
NYCAOACAN-A,7,1732.75,1162.0,Tribeca Avenue of the Americas,,,,,,,,,
NYCAOACAN-A,8,1732.75,1194.0,Tribeca Avenue of the Americas,,,,,,,,,
NYCAOACAN-A,9,1671.75,1194.0,Tribeca Avenue of the Americas,,,,,,,,,
NYCAOACAN-A,10,1671.75,1600.75,Tribeca Avenue of the Americas,,,,,,,,,
NYCAOACAN-A,11,1710.75,1600.75,Tribeca Avenue of the Americas,,,,,,,,,
NYCAOACAN-A,12,1710.75,1851.75,Tribeca Avenue of the Americas,,,,,,,,,
NYCAOACAN-A,13,1431.75,1851.75,Tribeca Avenue of the Americas,,,,,,,,,
NYCAOACAN-A,14,1431.75,2052.75,Tribeca Avenue of the Americas,,,,,,,,,
NYCAOACAN-A,15,1416.75,2052.75,Tribeca Avenue of the Americas,,,,,,,,,
NYCAOACAN-A,16,1416.75,2135.75,Tribeca Avenue of the Americas,,,,,,,,,
NYCAOACAN-A,17,1514.75,2135.75,Tribeca Avenue of the Americas,,,,,,,,,
NYCAOACAN-A,18,1514.75,2131.75,Tribeca Avenue of the Americas,,,,,,,,,
NYCAOACAN-A,19,2100.75,2131.75,Tribeca Avenue of the Americas,,,,,,,,,
NYCAOACAN-A,20,2100.75,1943.75,Tribeca Avenue of the Americas,,,,,,,,,
NYCAOACAN-A,21,2126.75,1943.75,Tribeca Avenue of the Americas,,,,,,,,,
NYCAOACAN-A,22,2126.75,1893.75,Tribeca Avenue of the Americas,,,,,,,,,
NYCAOACAN-A,23,2322.75,1893.75,Tribeca Avenue of the Americas,,,,,,,,,
NYCAOACAN-A,24,2322.75,1410.5,Tribeca Avenue of the Americas,,,,,,,,,
NYCAOACAN-A,25,2173,1409.5,Tribeca Avenue of the Americas,,,,,,,,,
NYCAOACAN-B,0,2173,1191.5,Tribeca Avenue of the Americas,,,,,,,,,
NYCAOACAN-B,1,2173,1409.5,Tribeca Avenue of the Americas,,,,,,,,,
NYCAOACAN-B,2,2322.75,1410.5,Tribeca Avenue of the Americas,,,,,,,,,
NYCAOACAN-B,3,2322.75,2127.5,Tribeca Avenue of the Americas,,,,,,,,,
NYCAOACAN-B,4,2342.5,2127.5,Tribeca Avenue of the Americas,,,,,,,,,
NYCAOACAN-B,5,2343.5,2133.5,Tribeca Avenue of the Americas,,,,,,,,,
NYCAOACAN-B,6,2871.5,2133.5,Tribeca Avenue of the Americas,,,,,,,,,
NYCAOACAN-B,7,2871.5,2119.5,Tribeca Avenue of the Americas,,,,,,,,,
NYCAOACAN-B,8,2948.5,2119.5,Tribeca Avenue of the Americas,,,,,,,,,
NYCAOACAN-B,9,2948.5,2029.5,Tribeca Avenue of the Americas,,,,,,,,,
NYCAOACAN-B,10,2942.75,2026.5,Tribeca Avenue of the Americas,,,,,,,,,
