Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
NYCCON001,0,1089,1847.0,UPDATED BPoF,1,,,,,,,,
NYCCON001,1,1257,1849.0,UPDATED BPoF,1,,,,,,,,
NYCCON001,2,1259,1613.0,UPDATED BPoF,1,,,,,,,,
NYCCON001,3,1092,1613.0,UPDATED BPoF,1,,,,,,,,
NYCCON002,0,1089,1847.0,UPDATED BPoF,2,,,,,,,,
NYCCON002,1,923,1849.0,UPDATED BPoF,2,,,,,,,,
NYCCON002,2,925,1615.0,UPDATED BPoF,2,,,,,,,,
NYCCON002,3,1092,1613.0,UPDATED BPoF,2,,,,,,,,
NYCCON003,0,923,1849.0,UPDATED BPoF,3,,,,,,,,
NYCCON003,1,754,1850.0,UPDATED BPoF,3,,,,,,,,
NYCCON003,2,758,1612.0,UPDATED BPoF,3,,,,,,,,
NYCCON003,3,925,1615.0,UPDATED BPoF,3,,,,,,,,
NYCCON004,0,754,1850.0,UPDATED BPoF,4,,,,,,,,
NYCCON004,1,589,1850.0,UPDATED BPoF,4,,,,,,,,
NYCCON004,2,590,1577.0,UPDATED BPoF,4,,,,,,,,
NYCCON004,3,740,1576.0,UPDATED BPoF,4,,,,,,,,
NYCCON004,4,742,1610.0,UPDATED BPoF,4,,,,,,,,
NYCCON004,5,758,1612.0,UPDATED BPoF,4,,,,,,,,
NYCCON005,0,188,2002.0,UPDATED BPoF,5,,,,,,,,
NYCCON005,1,375,2006.0,UPDATED BPoF,5,,,,,,,,
NYCCON005,2,377,1848.0,UPDATED BPoF,5,,,,,,,,
NYCCON005,3,188,1849.0,UPDATED BPoF,5,,,,,,,,
NYCCON006,0,186,2160.0,UPDATED BPoF,6,,,,,,,,
NYCCON006,1,377,2159.0,UPDATED BPoF,6,,,,,,,,
NYCCON006,2,375,2006.0,UPDATED BPoF,6,,,,,,,,
NYCCON006,3,188,2002.0,UPDATED BPoF,6,,,,,,,,
NYCCON007,0,186,2160.0,UPDATED BPoF,7,,,,,,,,
NYCCON007,1,187,2313.0,UPDATED BPoF,7,,,,,,,,
NYCCON007,2,379,2312.0,UPDATED BPoF,7,,,,,,,,
NYCCON007,3,377,2159.0,UPDATED BPoF,7,,,,,,,,
NYCCON008,0,188,2463.0,UPDATED BPoF,8,,,,,,,,
NYCCON008,1,376,2463.0,UPDATED BPoF,8,,,,,,,,
NYCCON008,2,379,2312.0,UPDATED BPoF,8,,,,,,,,
NYCCON008,3,187,2313.0,UPDATED BPoF,8,,,,,,,,
NYCCON009,0,526,2445.0,UPDATED BPoF,9,,,,,,,,
NYCCON009,1,732,2447.0,UPDATED BPoF,9,,,,,,,,
NYCCON009,2,732,2251.0,UPDATED BPoF,9,,,,,,,,
NYCCON009,3,523,2248.0,UPDATED BPoF,9,,,,,,,,
NYCCON010,0,523,2248.0,UPDATED BPoF,10,,,,,,,,
NYCCON010,1,732,2251.0,UPDATED BPoF,10,,,,,,,,
NYCCON010,2,733,2108.0,UPDATED BPoF,10,,,,,,,,
NYCCON010,3,525,2109.0,UPDATED BPoF,10,,,,,,,,
NYCCON011,0,732,2447.0,UPDATED BPoF,11,,,,,,,,
NYCCON011,1,1090,2449.0,UPDATED BPoF,11,,,,,,,,
NYCCON011,2,1090,2111.0,UPDATED BPoF,11,,,,,,,,
NYCCON011,3,733,2108.0,UPDATED BPoF,11,,,,,,,,
NYCCON012,0,1089,2446.0,UPDATED BPoF,12,,,,,,,,
NYCCON012,1,1299,2445.0,UPDATED BPoF,12,,,,,,,,
NYCCON012,2,1297,2253.0,UPDATED BPoF,12,,,,,,,,
NYCCON012,3,1093,2250.0,UPDATED BPoF,12,,,,,,,,
NYCCON013,0,1093,2250.0,UPDATED BPoF,13,,,,,,,,
NYCCON013,1,1297,2253.0,UPDATED BPoF,13,,,,,,,,
NYCCON013,2,1299,2111.0,UPDATED BPoF,13,,,,,,,,
NYCCON013,3,1090,2111.0,UPDATED BPoF,13,,,,,,,,
NYCCON014,0,1409,2447.0,UPDATED BPoF,14,,,,,,,,
NYCCON014,1,1458,2449.0,UPDATED BPoF,14,,,,,,,,
NYCCON014,2,1456,2465.0,UPDATED BPoF,14,,,,,,,,
NYCCON014,3,1664,2463.0,UPDATED BPoF,14,,,,,,,,
NYCCON014,4,1665,2253.0,UPDATED BPoF,14,,,,,,,,
NYCCON014,5,1410,2252.0,UPDATED BPoF,14,,,,,,,,
NYCCON015,0,1410,2252.0,UPDATED BPoF,15,,,,,,,,
NYCCON015,1,1409,2049.0,UPDATED BPoF,15,,,,,,,,
NYCCON015,2,1649,2052.0,UPDATED BPoF,15,,,,,,,,
NYCCON015,3,1650,2073.0,UPDATED BPoF,15,,,,,,,,
NYCCON015,4,1664,2075.0,UPDATED BPoF,15,,,,,,,,
NYCCON015,5,1665,2253.0,UPDATED BPoF,15,,,,,,,,
NYCCON016,0,1076,591.0,UPDATED BPoF,16,,,,,,,,
NYCCON016,1,1236,592.0,UPDATED BPoF,16,,,,,,,,
NYCCON016,2,1242,361.0,UPDATED BPoF,16,,,,,,,,
NYCCON016,3,1080,361.0,UPDATED BPoF,16,,,,,,,,
NYCCON017,0,911,594.0,UPDATED BPoF,17,,,,,,,,
NYCCON017,1,1076,591.0,UPDATED BPoF,17,,,,,,,,
NYCCON017,2,1080,361.0,UPDATED BPoF,17,,,,,,,,
NYCCON017,3,914,360.0,UPDATED BPoF,17,,,,,,,,
