Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
MIALIN201,0,1437,1562.0,UPDATED Miami Beach,201,,,,,,,,
MIALIN201,1,1610,1561.0,UPDATED Miami Beach,201,,,,,,,,
MIALIN201,2,1608,1432.0,UPDATED Miami Beach,201,,,,,,,,
MIALIN201,3,1385,1430.0,UPDATED Miami Beach,201,,,,,,,,
MIALIN201,4,1387,1541.0,UPDATED Miami Beach,201,,,,,,,,
MIALIN201,5,1438,1541.0,UPDATED Miami Beach,201,,,,,,,,
MIALIN202,0,1387,1541.0,UPDATED Miami Beach,202,,,,,,,,
MIALIN202,1,1283,1545.0,UPDATED Miami Beach,202,,,,,,,,
MIALIN202,2,1280,1431.0,UPDATED Miami Beach,202,,,,,,,,
MIALIN202,3,1385,1430.0,UPDATED Miami Beach,202,,,,,,,,
MIALIN203,0,1283,1545.0,UPDATED Miami Beach,203,,,,,,,,
MIALIN203,1,1179,1545.0,UPDATED Miami Beach,203,,,,,,,,
MIALIN203,2,1179,1430.0,UPDATED Miami Beach,203,,,,,,,,
MIALIN203,3,1280,1431.0,UPDATED Miami Beach,203,,,,,,,,
MIALIN204,0,1179,1545.0,UPDATED Miami Beach,204,,,,,,,,
MIALIN204,1,1077,1543.0,UPDATED Miami Beach,204,,,,,,,,
MIALIN204,2,1077,1432.0,UPDATED Miami Beach,204,,,,,,,,
MIALIN204,3,1179,1430.0,UPDATED Miami Beach,204,,,,,,,,
MIALIN205,0,1009,1545.0,UPDATED Miami Beach,205,,,,,,,,
MIALIN205,1,1077,1543.0,UPDATED Miami Beach,205,,,,,,,,
MIALIN205,2,1077,1432.0,UPDATED Miami Beach,205,,,,,,,,
MIALIN205,3,1009,1429.0,UPDATED Miami Beach,205,,,,,,,,
MIALIN206,0,1009,1545.0,UPDATED Miami Beach,206,,,,,,,,
MIALIN206,1,908,1544.0,UPDATED Miami Beach,206,,,,,,,,
MIALIN206,2,908,1431.0,UPDATED Miami Beach,206,,,,,,,,
MIALIN206,3,1009,1429.0,UPDATED Miami Beach,206,,,,,,,,
MIALIN207,0,837,1544.0,UPDATED Miami Beach,207,,,,,,,,
MIALIN207,1,908,1544.0,UPDATED Miami Beach,207,,,,,,,,
MIALIN207,2,908,1431.0,UPDATED Miami Beach,207,,,,,,,,
MIALIN207,3,837,1431.0,UPDATED Miami Beach,207,,,,,,,,
MIALIN208,0,837,1544.0,UPDATED Miami Beach,208,,,,,,,,
MIALIN208,1,733,1545.0,UPDATED Miami Beach,208,,,,,,,,
MIALIN208,2,736,1432.0,UPDATED Miami Beach,208,,,,,,,,
MIALIN208,3,837,1431.0,UPDATED Miami Beach,208,,,,,,,,
MIALIN209,0,736,1432.0,UPDATED Miami Beach,209,,,,,,,,
MIALIN209,1,668,1431.0,UPDATED Miami Beach,209,,,,,,,,
MIALIN209,2,667,1545.0,UPDATED Miami Beach,209,,,,,,,,
MIALIN209,3,733,1545.0,UPDATED Miami Beach,209,,,,,,,,
MIALIN210,0,565,1544.0,UPDATED Miami Beach,210,,,,,,,,
MIALIN210,1,667,1545.0,UPDATED Miami Beach,210,,,,,,,,
MIALIN210,2,668,1431.0,UPDATED Miami Beach,210,,,,,,,,
MIALIN210,3,566,1430.0,UPDATED Miami Beach,210,,,,,,,,
MIALIN211,0,565,1544.0,UPDATED Miami Beach,211,,,,,,,,
MIALIN211,1,496,1544.0,UPDATED Miami Beach,211,,,,,,,,
MIALIN211,2,499,1431.0,UPDATED Miami Beach,211,,,,,,,,
MIALIN211,3,566,1430.0,UPDATED Miami Beach,211,,,,,,,,
MIALIN212,0,496,1544.0,UPDATED Miami Beach,212,,,,,,,,
MIALIN212,1,399,1543.0,UPDATED Miami Beach,212,,,,,,,,
MIALIN212,2,397,1431.0,UPDATED Miami Beach,212,,,,,,,,
MIALIN212,3,499,1431.0,UPDATED Miami Beach,212,,,,,,,,
MIALIN213,0,327,1545.0,UPDATED Miami Beach,213,,,,,,,,
MIALIN213,1,399,1543.0,UPDATED Miami Beach,213,,,,,,,,
MIALIN213,2,397,1431.0,UPDATED Miami Beach,213,,,,,,,,
MIALIN213,3,327,1430.0,UPDATED Miami Beach,213,,,,,,,,
MIALIN214,0,327,1545.0,UPDATED Miami Beach,214,,,,,,,,
MIALIN214,1,263,1544.0,UPDATED Miami Beach,214,,,,,,,,
MIALIN214,2,264,1619.0,UPDATED Miami Beach,214,,,,,,,,
MIALIN214,3,103,1619.0,UPDATED Miami Beach,214,,,,,,,,
MIALIN214,4,104,1550.0,UPDATED Miami Beach,214,,,,,,,,
MIALIN214,5,224,1431.0,UPDATED Miami Beach,214,,,,,,,,
MIALIN214,6,327,1430.0,UPDATED Miami Beach,214,,,,,,,,
MIALIN215,0,676,1742.0,UPDATED Miami Beach,215,,,,,,,,
MIALIN215,1,794,1740.0,UPDATED Miami Beach,215,,,,,,,,
MIALIN215,2,796,1588.0,UPDATED Miami Beach,215,,,,,,,,
MIALIN215,3,678,1585.0,UPDATED Miami Beach,215,,,,,,,,
MIALIN216,0,676,1742.0,UPDATED Miami Beach,216,,,,,,,,
MIALIN216,1,567,1742.0,UPDATED Miami Beach,216,,,,,,,,
MIALIN216,2,568,1586.0,UPDATED Miami Beach,216,,,,,,,,
MIALIN216,3,678,1585.0,UPDATED Miami Beach,216,,,,,,,,
MIALIN217,0,492,1691.0,UPDATED Miami Beach,217,,,,,,,,
MIALIN217,1,567,1691.0,UPDATED Miami Beach,217,,,,,,,,
MIALIN217,2,568,1586.0,UPDATED Miami Beach,217,,,,,,,,
MIALIN217,3,496,1586.0,UPDATED Miami Beach,217,,,,,,,,
MIALIN218,0,421,1740.0,UPDATED Miami Beach,218,,,,,,,,
MIALIN218,1,494,1740.0,UPDATED Miami Beach,218,,,,,,,,
MIALIN218,2,496,1586.0,UPDATED Miami Beach,218,,,,,,,,
MIALIN218,3,421,1586.0,UPDATED Miami Beach,218,,,,,,,,
MIALIN219,0,309,1692.0,UPDATED Miami Beach,219,,,,,,,,
MIALIN219,1,421,1691.0,UPDATED Miami Beach,219,,,,,,,,
MIALIN219,2,421,1586.0,UPDATED Miami Beach,219,,,,,,,,
MIALIN219,3,309,1585.0,UPDATED Miami Beach,219,,,,,,,,
MIALIN220,0,102,1697.0,UPDATED Miami Beach,220,,,,,,,,
MIALIN220,1,262,1699.0,UPDATED Miami Beach,220,,,,,,,,
MIALIN220,2,264,1619.0,UPDATED Miami Beach,220,,,,,,,,
MIALIN220,3,103,1619.0,UPDATED Miami Beach,220,,,,,,,,
MIALIN221,0,102,1782.0,UPDATED Miami Beach,221,,,,,,,,
MIALIN221,1,261,1785.0,UPDATED Miami Beach,221,,,,,,,,
MIALIN221,2,262,1699.0,UPDATED Miami Beach,221,,,,,,,,
MIALIN221,3,102,1697.0,UPDATED Miami Beach,221,,,,,,,,
MIALIN222,0,102,1782.0,UPDATED Miami Beach,222,,,,,,,,
MIALIN222,1,102,1883.0,UPDATED Miami Beach,222,,,,,,,,
MIALIN222,2,259,1884.0,UPDATED Miami Beach,222,,,,,,,,
MIALIN222,3,261,1785.0,UPDATED Miami Beach,222,,,,,,,,
MIALIN223,0,102,1883.0,UPDATED Miami Beach,223,,,,,,,,
MIALIN223,1,103,1952.0,UPDATED Miami Beach,223,,,,,,,,
MIALIN223,2,263,1952.0,UPDATED Miami Beach,223,,,,,,,,
MIALIN223,3,259,1884.0,UPDATED Miami Beach,223,,,,,,,,
MIALIN224,0,102,2048.0,UPDATED Miami Beach,224,,,,,,,,
MIALIN224,1,260,2050.0,UPDATED Miami Beach,224,,,,,,,,
MIALIN224,2,263,1952.0,UPDATED Miami Beach,224,,,,,,,,
MIALIN224,3,103,1952.0,UPDATED Miami Beach,224,,,,,,,,
MIALIN225,0,108,2050.0,UPDATED Miami Beach,225,,,,,,,,
MIALIN225,1,108,2200.0,UPDATED Miami Beach,225,,,,,,,,
MIALIN225,2,341,2198.0,UPDATED Miami Beach,225,,,,,,,,
MIALIN225,3,343,2085.0,UPDATED Miami Beach,225,,,,,,,,
MIALIN225,4,260,2083.0,UPDATED Miami Beach,225,,,,,,,,
MIALIN225,5,260,2050.0,UPDATED Miami Beach,225,,,,,,,,
MIALIN226,0,310,1912.0,UPDATED Miami Beach,226,,,,,,,,
MIALIN226,1,384,1910.0,UPDATED Miami Beach,226,,,,,,,,
MIALIN226,2,384,1836.0,UPDATED Miami Beach,226,,,,,,,,
MIALIN226,3,308,1836.0,UPDATED Miami Beach,226,,,,,,,,
MIALIN227,0,384,1910.0,UPDATED Miami Beach,227,,,,,,,,
MIALIN227,1,441,1910.0,UPDATED Miami Beach,227,,,,,,,,
MIALIN227,2,442,1898.0,UPDATED Miami Beach,227,,,,,,,,
MIALIN227,3,464,1898.0,UPDATED Miami Beach,227,,,,,,,,
MIALIN227,4,466,1837.0,UPDATED Miami Beach,227,,,,,,,,
MIALIN227,5,384,1836.0,UPDATED Miami Beach,227,,,,,,,,
MIALIN228,0,420,1793.0,UPDATED Miami Beach,228,,,,,,,,
MIALIN228,1,308,1792.0,UPDATED Miami Beach,228,,,,,,,,
MIALIN228,2,309,1692.0,UPDATED Miami Beach,228,,,,,,,,
MIALIN228,3,421,1691.0,UPDATED Miami Beach,228,,,,,,,,
MIALIN229,0,420,1793.0,UPDATED Miami Beach,229,,,,,,,,
MIALIN229,1,494,1792.0,UPDATED Miami Beach,229,,,,,,,,
MIALIN229,2,494,1740.0,UPDATED Miami Beach,229,,,,,,,,
MIALIN229,3,421,1740.0,UPDATED Miami Beach,229,,,,,,,,
MIALIN230,0,494,1792.0,UPDATED Miami Beach,230,,,,,,,,
MIALIN230,1,564,1791.0,UPDATED Miami Beach,230,,,,,,,,
MIALIN230,2,567,1691.0,UPDATED Miami Beach,230,,,,,,,,
MIALIN230,3,492,1691.0,UPDATED Miami Beach,230,,,,,,,,
MIALIN301,0,3020,1686.0,UPDATED Miami Beach,301,,,,,,,,
MIALIN301,1,3197,1684.0,UPDATED Miami Beach,301,,,,,,,,
MIALIN301,2,3196,1559.0,UPDATED Miami Beach,301,,,,,,,,
MIALIN301,3,3022,1558.0,UPDATED Miami Beach,301,,,,,,,,
MIALIN302,0,2970,1544.0,UPDATED Miami Beach,302,,,,,,,,
MIALIN302,1,3023,1544.0,UPDATED Miami Beach,302,,,,,,,,
MIALIN302,2,3022,1558.0,UPDATED Miami Beach,302,,,,,,,,
MIALIN302,3,3196,1559.0,UPDATED Miami Beach,302,,,,,,,,
MIALIN302,4,3192,1435.0,UPDATED Miami Beach,302,,,,,,,,
MIALIN302,5,2971,1431.0,UPDATED Miami Beach,302,,,,,,,,
MIALIN303,0,2970,1544.0,UPDATED Miami Beach,303,,,,,,,,
MIALIN303,1,2901,1545.0,UPDATED Miami Beach,303,,,,,,,,
MIALIN303,2,2902,1433.0,UPDATED Miami Beach,303,,,,,,,,
MIALIN303,3,2971,1431.0,UPDATED Miami Beach,303,,,,,,,,
MIALIN304,0,2834,1544.0,UPDATED Miami Beach,304,,,,,,,,
MIALIN304,1,2901,1545.0,UPDATED Miami Beach,304,,,,,,,,
MIALIN304,2,2902,1433.0,UPDATED Miami Beach,304,,,,,,,,
MIALIN304,3,2836,1434.0,UPDATED Miami Beach,304,,,,,,,,
MIALIN305,0,2834,1544.0,UPDATED Miami Beach,305,,,,,,,,
MIALIN305,1,2728,1547.0,UPDATED Miami Beach,305,,,,,,,,
MIALIN305,2,2729,1431.0,UPDATED Miami Beach,305,,,,,,,,
MIALIN305,3,2836,1434.0,UPDATED Miami Beach,305,,,,,,,,
MIALIN306,0,2668,1547.0,UPDATED Miami Beach,306,,,,,,,,
MIALIN306,1,2728,1547.0,UPDATED Miami Beach,306,,,,,,,,
MIALIN306,2,2729,1431.0,UPDATED Miami Beach,306,,,,,,,,
MIALIN306,3,2667,1433.0,UPDATED Miami Beach,306,,,,,,,,
MIALIN307,0,2600,1546.0,UPDATED Miami Beach,307,,,,,,,,
MIALIN307,1,2668,1547.0,UPDATED Miami Beach,307,,,,,,,,
MIALIN307,2,2667,1433.0,UPDATED Miami Beach,307,,,,,,,,
MIALIN307,3,2600,1431.0,UPDATED Miami Beach,307,,,,,,,,
MIALIN308,0,2497,1548.0,UPDATED Miami Beach,308,,,,,,,,
MIALIN308,1,2600,1546.0,UPDATED Miami Beach,308,,,,,,,,
MIALIN308,2,2600,1431.0,UPDATED Miami Beach,308,,,,,,,,
MIALIN308,3,2497,1433.0,UPDATED Miami Beach,308,,,,,,,,
MIALIN309,0,2431,1547.0,UPDATED Miami Beach,309,,,,,,,,
MIALIN309,1,2497,1548.0,UPDATED Miami Beach,309,,,,,,,,
MIALIN309,2,2497,1433.0,UPDATED Miami Beach,309,,,,,,,,
MIALIN309,3,2431,1432.0,UPDATED Miami Beach,309,,,,,,,,
MIALIN310,0,2331,1544.0,UPDATED Miami Beach,310,,,,,,,,
MIALIN310,1,2431,1547.0,UPDATED Miami Beach,310,,,,,,,,
MIALIN310,2,2431,1432.0,UPDATED Miami Beach,310,,,,,,,,
MIALIN310,3,2327,1431.0,UPDATED Miami Beach,310,,,,,,,,
MIALIN311,0,2331,1544.0,UPDATED Miami Beach,311,,,,,,,,
MIALIN311,1,2265,1545.0,UPDATED Miami Beach,311,,,,,,,,
MIALIN311,2,2262,1435.0,UPDATED Miami Beach,311,,,,,,,,
MIALIN311,3,2327,1431.0,UPDATED Miami Beach,311,,,,,,,,
MIALIN312,0,2265,1545.0,UPDATED Miami Beach,312,,,,,,,,
MIALIN312,1,2161,1546.0,UPDATED Miami Beach,312,,,,,,,,
MIALIN312,2,2161,1434.0,UPDATED Miami Beach,312,,,,,,,,
MIALIN312,3,2262,1435.0,UPDATED Miami Beach,312,,,,,,,,
MIALIN313,0,2097,1548.0,UPDATED Miami Beach,313,,,,,,,,
MIALIN313,1,2161,1546.0,UPDATED Miami Beach,313,,,,,,,,
MIALIN313,2,2161,1434.0,UPDATED Miami Beach,313,,,,,,,,
MIALIN313,3,2094,1433.0,UPDATED Miami Beach,313,,,,,,,,
MIALIN314,0,1992,1545.0,UPDATED Miami Beach,314,,,,,,,,
MIALIN314,1,2097,1548.0,UPDATED Miami Beach,314,,,,,,,,
MIALIN314,2,2094,1433.0,UPDATED Miami Beach,314,,,,,,,,
MIALIN314,3,1991,1432.0,UPDATED Miami Beach,314,,,,,,,,
MIALIN315,0,1992,1545.0,UPDATED Miami Beach,315,,,,,,,,
MIALIN315,1,1926,1547.0,UPDATED Miami Beach,315,,,,,,,,
MIALIN315,2,1923,1433.0,UPDATED Miami Beach,315,,,,,,,,
MIALIN315,3,1991,1432.0,UPDATED Miami Beach,315,,,,,,,,
MIALIN316,0,1703,1621.0,UPDATED Miami Beach,316,,,,,,,,
MIALIN316,1,1856,1618.0,UPDATED Miami Beach,316,,,,,,,,
MIALIN316,2,1859,1545.0,UPDATED Miami Beach,316,,,,,,,,
MIALIN316,3,1926,1547.0,UPDATED Miami Beach,316,,,,,,,,
MIALIN316,4,1923,1433.0,UPDATED Miami Beach,316,,,,,,,,
MIALIN316,5,1822,1431.0,UPDATED Miami Beach,316,,,,,,,,
MIALIN316,6,1704,1553.0,UPDATED Miami Beach,316,,,,,,,,
MIALIN317,0,2727,1743.0,UPDATED Miami Beach,317,,,,,,,,
MIALIN317,1,2965,1742.0,UPDATED Miami Beach,317,,,,,,,,
MIALIN317,2,2965,1585.0,UPDATED Miami Beach,317,,,,,,,,
MIALIN317,3,2726,1588.0,UPDATED Miami Beach,317,,,,,,,,
MIALIN318,0,2617,1720.0,UPDATED Miami Beach,318,,,,,,,,
MIALIN318,1,2725,1719.0,UPDATED Miami Beach,318,,,,,,,,
MIALIN318,2,2726,1588.0,UPDATED Miami Beach,318,,,,,,,,
MIALIN318,3,2615,1587.0,UPDATED Miami Beach,318,,,,,,,,
MIALIN319,0,2617,1720.0,UPDATED Miami Beach,319,,,,,,,,
MIALIN319,1,2512,1721.0,UPDATED Miami Beach,319,,,,,,,,
MIALIN319,2,2513,1587.0,UPDATED Miami Beach,319,,,,,,,,
MIALIN319,3,2615,1587.0,UPDATED Miami Beach,319,,,,,,,,
MIALIN320,0,2448,1654.0,UPDATED Miami Beach,320,,,,,,,,
MIALIN320,1,2514,1654.0,UPDATED Miami Beach,320,,,,,,,,
MIALIN320,2,2513,1587.0,UPDATED Miami Beach,320,,,,,,,,
MIALIN320,3,2445,1587.0,UPDATED Miami Beach,320,,,,,,,,
MIALIN321,0,2333,1651.0,UPDATED Miami Beach,321,,,,,,,,
MIALIN321,1,2402,1653.0,UPDATED Miami Beach,321,,,,,,,,
MIALIN321,2,2401,1588.0,UPDATED Miami Beach,321,,,,,,,,
MIALIN321,3,2334,1586.0,UPDATED Miami Beach,321,,,,,,,,
MIALIN322,0,2261,1689.0,UPDATED Miami Beach,322,,,,,,,,
MIALIN322,1,2335,1688.0,UPDATED Miami Beach,322,,,,,,,,
