Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
NYC860BROAD501,0,210,2635.0,USQ on Broadway,501,,,,,,,,
NYC860BROAD501,1,210,2520.0,USQ on Broadway,501,,,,,,,,
NYC860BROAD501,2,40,2520.0,USQ on Broadway,501,,,,,,,,
NYC860BROAD501,3,40,2635.0,USQ on Broadway,501,,,,,,,,
NYC860BROAD502,0,210,2520.0,USQ on Broadway,502,,,,,,,,
NYC860BROAD502,1,210,2370.0,USQ on Broadway,502,,,,,,,,
NYC860BROAD502,2,40,2370.0,USQ on Broadway,502,,,,,,,,
NYC860BROAD502,3,40,2520.0,USQ on Broadway,502,,,,,,,,
NYC860BROAD503,0,465,2405.0,USQ on Broadway,503,,,,,,,,
NYC860BROAD503,1,465,2255.0,USQ on Broadway,503,,,,,,,,
NYC860BROAD503,2,270,2255.0,USQ on Broadway,503,,,,,,,,
NYC860BROAD503,3,270,2405.0,USQ on Broadway,503,,,,,,,,
NYC860BROAD504,0,210,2370.0,USQ on Broadway,504,,,,,,,,
NYC860BROAD504,1,210,2225.0,USQ on Broadway,504,,,,,,,,
NYC860BROAD504,2,40,2225.0,USQ on Broadway,504,,,,,,,,
NYC860BROAD504,3,40,2370.0,USQ on Broadway,504,,,,,,,,
NYC860BROAD505,0,210,2225.0,USQ on Broadway,505,,,,,,,,
NYC860BROAD505,1,210,2045.0,USQ on Broadway,505,,,,,,,,
NYC860BROAD505,2,40,2045.0,USQ on Broadway,505,,,,,,,,
NYC860BROAD505,3,40,2225.0,USQ on Broadway,505,,,,,,,,
NYC860BROAD506,0,465,2255.0,USQ on Broadway,506,,,,,,,,
NYC860BROAD506,1,465,2155.0,USQ on Broadway,506,,,,,,,,
NYC860BROAD506,2,270,2155.0,USQ on Broadway,506,,,,,,,,
NYC860BROAD506,3,270,2255.0,USQ on Broadway,506,,,,,,,,
NYC860BROAD507,0,465,2155.0,USQ on Broadway,507,,,,,,,,
NYC860BROAD507,1,465,2040.0,USQ on Broadway,507,,,,,,,,
NYC860BROAD507,2,270,2040.0,USQ on Broadway,507,,,,,,,,
NYC860BROAD507,3,270,2155.0,USQ on Broadway,507,,,,,,,,
NYC860BROAD508,0,630,1845.0,USQ on Broadway,508,,,,,,,,
NYC860BROAD508,1,630,1740.0,USQ on Broadway,508,,,,,,,,
NYC860BROAD508,2,525,1740.0,USQ on Broadway,508,,,,,,,,
NYC860BROAD508,3,525,1845.0,USQ on Broadway,508,,,,,,,,
NYC860BROAD509,0,525,1845.0,USQ on Broadway,509,,,,,,,,
NYC860BROAD509,1,525,1950.0,USQ on Broadway,509,,,,,,,,
NYC860BROAD509,2,630,1950.0,USQ on Broadway,509,,,,,,,,
NYC860BROAD509,3,630,1845.0,USQ on Broadway,509,,,,,,,,
NYC860BROAD510,0,755,2145.0,USQ on Broadway,510,,,,,,,,
NYC860BROAD510,1,755,2005.0,USQ on Broadway,510,,,,,,,,
NYC860BROAD510,2,525,2005.0,USQ on Broadway,510,,,,,,,,
NYC860BROAD510,3,525,2070.0,USQ on Broadway,510,,,,,,,,
NYC860BROAD510,4,560,2070.0,USQ on Broadway,510,,,,,,,,
NYC860BROAD510,5,560,2145.0,USQ on Broadway,510,,,,,,,,
NYC860BROAD511,0,630,1950.0,USQ on Broadway,511,,,,,,,,
NYC860BROAD511,1,780,1950.0,USQ on Broadway,511,,,,,,,,
NYC860BROAD511,2,780,1740.0,USQ on Broadway,511,,,,,,,,
NYC860BROAD511,3,630,1740.0,USQ on Broadway,511,,,,,,,,
NYC860BROAD512,0,780,1950.0,USQ on Broadway,512,,,,,,,,
NYC860BROAD512,1,930,1950.0,USQ on Broadway,512,,,,,,,,
NYC860BROAD512,2,930,1740.0,USQ on Broadway,512,,,,,,,,
NYC860BROAD512,3,780,1740.0,USQ on Broadway,512,,,,,,,,
NYC860BROAD513,0,1095,1845.0,USQ on Broadway,513,,,,,,,,
NYC860BROAD513,1,1095,1740.0,USQ on Broadway,513,,,,,,,,
NYC860BROAD513,2,990,1740.0,USQ on Broadway,513,,,,,,,,
NYC860BROAD513,3,990,1845.0,USQ on Broadway,513,,,,,,,,
NYC860BROAD514,0,990,1845.0,USQ on Broadway,514,,,,,,,,
NYC860BROAD514,1,990,1950.0,USQ on Broadway,514,,,,,,,,
NYC860BROAD514,2,1095,1950.0,USQ on Broadway,514,,,,,,,,
NYC860BROAD514,3,1095,1845.0,USQ on Broadway,514,,,,,,,,
NYC860BROAD515,0,1110,2005.0,USQ on Broadway,515,,,,,,,,
NYC860BROAD515,1,930,2005.0,USQ on Broadway,515,,,,,,,,
NYC860BROAD515,2,930,2265.0,USQ on Broadway,515,,,,,,,,
NYC860BROAD515,3,1110,2265.0,USQ on Broadway,515,,,,,,,,
NYC860BROAD516,0,1110,2265.0,USQ on Broadway,516,,,,,,,,
NYC860BROAD516,1,1275,2265.0,USQ on Broadway,516,,,,,,,,
NYC860BROAD516,2,1275,2005.0,USQ on Broadway,516,,,,,,,,
NYC860BROAD516,3,1110,2005.0,USQ on Broadway,516,,,,,,,,
NYC860BROAD517,0,1095,1950.0,USQ on Broadway,517,,,,,,,,
NYC860BROAD517,1,1195,1950.0,USQ on Broadway,517,,,,,,,,
NYC860BROAD517,2,1195,1845.0,USQ on Broadway,517,,,,,,,,
NYC860BROAD517,3,1095,1845.0,USQ on Broadway,517,,,,,,,,
NYC860BROAD518,0,1095,1845.0,USQ on Broadway,518,,,,,,,,
NYC860BROAD518,1,1095,1740.0,USQ on Broadway,518,,,,,,,,
NYC860BROAD518,2,1195,1740.0,USQ on Broadway,518,,,,,,,,
NYC860BROAD518,3,1195,1845.0,USQ on Broadway,518,,,,,,,,
NYC860BROAD519,0,1360,1845.0,USQ on Broadway,519,,,,,,,,
NYC860BROAD519,1,1360,1740.0,USQ on Broadway,519,,,,,,,,
NYC860BROAD519,2,1255,1740.0,USQ on Broadway,519,,,,,,,,
NYC860BROAD519,3,1255,1845.0,USQ on Broadway,519,,,,,,,,
NYC860BROAD520,0,1255,1845.0,USQ on Broadway,520,,,,,,,,
NYC860BROAD520,1,1255,1950.0,USQ on Broadway,520,,,,,,,,
NYC860BROAD520,2,1360,1950.0,USQ on Broadway,520,,,,,,,,
NYC860BROAD520,3,1360,1845.0,USQ on Broadway,520,,,,,,,,
NYC860BROAD521,0,1275,2265.0,USQ on Broadway,521,,,,,,,,
NYC860BROAD521,1,1540,2265.0,USQ on Broadway,521,,,,,,,,
NYC860BROAD521,2,1540,2005.0,USQ on Broadway,521,,,,,,,,
NYC860BROAD521,3,1275,2005.0,USQ on Broadway,521,,,,,,,,
NYC860BROAD522,0,1540,2005.0,USQ on Broadway,522,,,,,,,,
NYC860BROAD522,1,1685,2005.0,USQ on Broadway,522,,,,,,,,
NYC860BROAD522,2,1685,2100.0,USQ on Broadway,522,,,,,,,,
NYC860BROAD522,3,1540,2100.0,USQ on Broadway,522,,,,,,,,
NYC860BROAD523,0,1900,1950.0,USQ on Broadway,523,,,,,,,,
