Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
WASUNI001,0,2286,1935.0,Union Market,1,,,,,,,,
WASUNI001,1,2499,1935.0,Union Market,1,,,,,,,,
WASUNI001,2,2495,1770.0,Union Market,1,,,,,,,,
WASUNI001,3,2435,1769.0,Union Market,1,,,,,,,,
WASUNI001,4,2435,1671.0,Union Market,1,,,,,,,,
WASUNI001,5,2284,1668.0,Union Market,1,,,,,,,,
WASUNI002,0,2499,1935.0,Union Market,2,,,,,,,,
WASUNI002,1,2499,1699.0,Union Market,2,,,,,,,,
WASUNI002,2,2749,1701.0,Union Market,2,,,,,,,,
WASUNI002,3,2838,1910.0,Union Market,2,,,,,,,,
WASUNI002,4,2784,1929.0,Union Market,2,,,,,,,,
WASUNI002,5,2715,1935.0,Union Market,2,,,,,,,,
WASUNI003,0,2499,1699.0,Union Market,3,,,,,,,,
WASUNI003,1,2494,1574.0,Union Market,3,,,,,,,,
WASUNI003,2,2603,1574.0,Union Market,3,,,,,,,,
WASUNI003,3,2600,1698.0,Union Market,3,,,,,,,,
WASUNI004,0,2600,1698.0,Union Market,4,,,,,,,,
WASUNI004,1,2603,1574.0,Union Market,4,,,,,,,,
WASUNI004,2,2749,1576.0,Union Market,4,,,,,,,,
WASUNI004,3,2749,1701.0,Union Market,4,,,,,,,,
WASUNI005,0,2956,1548.0,Union Market,5,,,,,,,,
WASUNI005,1,3114,1550.0,Union Market,5,,,,,,,,
WASUNI005,2,3114,1520.0,Union Market,5,,,,,,,,
WASUNI005,3,3152,1520.0,Union Market,5,,,,,,,,
WASUNI005,4,3153,1295.0,Union Market,5,,,,,,,,
WASUNI005,5,2952,1296.0,Union Market,5,,,,,,,,
WASUNI006,0,2758,1425.0,Union Market,6,,,,,,,,
WASUNI006,1,2887,1427.0,Union Market,6,,,,,,,,
WASUNI006,2,2888,1300.0,Union Market,6,,,,,,,,
WASUNI006,3,2759,1299.0,Union Market,6,,,,,,,,
WASUNI007,0,2952,1296.0,Union Market,7,,,,,,,,
WASUNI007,1,2949,1134.0,Union Market,7,,,,,,,,
WASUNI007,2,3152,1137.0,Union Market,7,,,,,,,,
WASUNI007,3,3153,1295.0,Union Market,7,,,,,,,,
WASUNI008,0,2781,1290.0,Union Market,8,,,,,,,,
WASUNI008,1,2886,1290.0,Union Market,8,,,,,,,,
WASUNI008,2,2889,1102.0,Union Market,8,,,,,,,,
WASUNI008,3,2780,1102.0,Union Market,8,,,,,,,,
WASUNI009,0,2949,1134.0,Union Market,9,,,,,,,,
WASUNI009,1,2948,963.0,Union Market,9,,,,,,,,
WASUNI009,2,3154,963.0,Union Market,9,,,,,,,,
WASUNI009,3,3152,1137.0,Union Market,9,,,,,,,,
WASUNI010,0,2701,1101.0,Union Market,10,,,,,,,,
WASUNI010,1,2704,935.0,Union Market,10,,,,,,,,
WASUNI010,2,2887,935.0,Union Market,10,,,,,,,,
WASUNI010,3,2889,1102.0,Union Market,10,,,,,,,,
WASUNI011,0,2948,963.0,Union Market,11,,,,,,,,
WASUNI011,1,2951,719.0,Union Market,11,,,,,,,,
WASUNI011,2,3155,719.0,Union Market,11,,,,,,,,
WASUNI011,3,3154,963.0,Union Market,11,,,,,,,,
WASUNI012,0,2705,934.0,Union Market,12,,,,,,,,
WASUNI012,1,2703,793.0,Union Market,12,,,,,,,,
WASUNI012,2,2889,791.0,Union Market,12,,,,,,,,
WASUNI012,3,2887,935.0,Union Market,12,,,,,,,,
WASUNI013,0,2855,730.0,Union Market,13,,,,,,,,
WASUNI013,1,2948,727.0,Union Market,13,,,,,,,,
WASUNI013,2,2951,719.0,Union Market,13,,,,,,,,
WASUNI013,3,3155,719.0,Union Market,13,,,,,,,,
WASUNI013,4,3153,536.0,Union Market,13,,,,,,,,
WASUNI013,5,2856,536.0,Union Market,13,,,,,,,,
WASUNI014,0,2712,730.0,Union Market,14,,,,,,,,
WASUNI014,1,2855,730.0,Union Market,14,,,,,,,,
WASUNI014,2,2856,536.0,Union Market,14,,,,,,,,
WASUNI014,3,2707,535.0,Union Market,14,,,,,,,,
WASUNI015,0,2712,730.0,Union Market,15,,,,,,,,
WASUNI015,1,2569,729.0,Union Market,15,,,,,,,,
WASUNI015,2,2567,538.0,Union Market,15,,,,,,,,
WASUNI015,3,2709,536.0,Union Market,15,,,,,,,,
WASUNI016,0,2403,900.0,Union Market,16,,,,,,,,
WASUNI016,1,2541,900.0,Union Market,16,,,,,,,,
WASUNI016,2,2543,792.0,Union Market,16,,,,,,,,
WASUNI016,3,2402,791.0,Union Market,16,,,,,,,,
WASUNI017,0,2287,730.0,Union Market,17,,,,,,,,
WASUNI017,1,2569,729.0,Union Market,17,,,,,,,,
WASUNI017,2,2567,538.0,Union Market,17,,,,,,,,
WASUNI017,3,2287,538.0,Union Market,17,,,,,,,,
WASUNI018,0,2259,901.0,Union Market,18,,,,,,,,
WASUNI018,1,2258,791.0,Union Market,18,,,,,,,,
WASUNI018,2,2402,791.0,Union Market,18,,,,,,,,
WASUNI018,3,2403,900.0,Union Market,18,,,,,,,,
WASUNI019,0,2074,732.0,Union Market,19,,,,,,,,
WASUNI019,1,2287,730.0,Union Market,19,,,,,,,,
WASUNI019,2,2287,538.0,Union Market,19,,,,,,,,
WASUNI019,3,2072,539.0,Union Market,19,,,,,,,,
WASUNI020,0,2121,901.0,Union Market,20,,,,,,,,
WASUNI020,1,2259,901.0,Union Market,20,,,,,,,,
WASUNI020,2,2258,791.0,Union Market,20,,,,,,,,
WASUNI020,3,2120,793.0,Union Market,20,,,,,,,,
WASUNI021,0,1863,730.0,Union Market,21,,,,,,,,
WASUNI021,1,2074,732.0,Union Market,21,,,,,,,,
WASUNI021,2,2072,539.0,Union Market,21,,,,,,,,
WASUNI021,3,1861,537.0,Union Market,21,,,,,,,,
WASUNI022,0,1929,1012.0,Union Market,22,,,,,,,,
WASUNI022,1,2116,1012.0,Union Market,22,,,,,,,,
WASUNI022,2,2116,789.0,Union Market,22,,,,,,,,
WASUNI022,3,1929,792.0,Union Market,22,,,,,,,,
WASUNI023,0,1650,729.0,Union Market,23,,,,,,,,
WASUNI023,1,1863,730.0,Union Market,23,,,,,,,,
WASUNI023,2,1861,537.0,Union Market,23,,,,,,,,
WASUNI023,3,1649,536.0,Union Market,23,,,,,,,,
WASUNI024,0,1782,1012.0,Union Market,24,,,,,,,,
WASUNI024,1,1787,794.0,Union Market,24,,,,,,,,
WASUNI024,2,1929,792.0,Union Market,24,,,,,,,,
WASUNI024,3,1929,1012.0,Union Market,24,,,,,,,,
WASUNI025,0,1433,732.0,Union Market,25,,,,,,,,
WASUNI025,1,1436,535.0,Union Market,25,,,,,,,,
WASUNI025,2,1649,536.0,Union Market,25,,,,,,,,
WASUNI025,3,1650,729.0,Union Market,25,,,,,,,,
WASUNI026,0,1634,1011.0,Union Market,26,,,,,,,,
