Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
PALALT501,0,"3,275",865.0,University Ave,501,,,,,,,,
PALALT501,1,"3,270",375.0,University Ave,501,,,,,,,,
PALALT501,2,"2,880",380.0,University Ave,501,,,,,,,,
PALALT501,3,"2,880",495.0,University Ave,501,,,,,,,,
PALALT501,4,"2,860",495.0,University Ave,501,,,,,,,,
PALALT501,5,"2,770",580.0,University Ave,501,,,,,,,,
PALALT501,6,"2,810",625.0,University Ave,501,,,,,,,,
PALALT501,7,"2,810",665.0,University Ave,501,,,,,,,,
PALALT501,8,"3,060",665.0,University Ave,501,,,,,,,,
PALALT501,9,"3,060",865.0,University Ave,501,,,,,,,,
PALALT502,0,"3,275",920.0,University Ave,502,,,,,,,,
PALALT502,1,"3,060",920.0,University Ave,502,,,,,,,,
PALALT502,2,"3,060",1005.0,University Ave,502,,,,,,,,
PALALT502,3,"2,925",1005.0,University Ave,502,,,,,,,,
PALALT502,4,"2,925",1315.0,University Ave,502,,,,,,,,
PALALT502,5,"3,280",1315.0,University Ave,502,,,,,,,,
PALALT503,0,"2,920",1000.0,University Ave,503,,,,,,,,
PALALT503,1,"3,060",1000.0,University Ave,503,,,,,,,,
PALALT503,2,"3,060",920.0,University Ave,503,,,,,,,,
PALALT503,3,"2,920",920.0,University Ave,503,,,,,,,,
PALALT504,0,"3,060",865.0,University Ave,504,,,,,,,,
PALALT504,1,"2,915",865.0,University Ave,504,,,,,,,,
PALALT504,2,"2,915",665.0,University Ave,504,,,,,,,,
PALALT504,3,"3,060",665.0,University Ave,504,,,,,,,,
PALALT505,0,"2,915",865.0,University Ave,505,,,,,,,,
PALALT505,1,"2,810",865.0,University Ave,505,,,,,,,,
PALALT505,2,"2,810",665.0,University Ave,505,,,,,,,,
PALALT505,3,"2,915",665.0,University Ave,505,,,,,,,,
PALALT506,0,"2,810",865.0,University Ave,506,,,,,,,,
PALALT506,1,"2,675",865.0,University Ave,506,,,,,,,,
PALALT506,2,"2,675",720.0,University Ave,506,,,,,,,,
PALALT506,3,"2,645",680.0,University Ave,506,,,,,,,,
PALALT506,4,"2,770",580.0,University Ave,506,,,,,,,,
PALALT506,5,"2,810",625.0,University Ave,506,,,,,,,,
PALALT507,0,"2,675",865.0,University Ave,507,,,,,,,,
PALALT507,1,"2,555",865.0,University Ave,507,,,,,,,,
PALALT507,2,"2,555",740.0,University Ave,507,,,,,,,,
PALALT507,3,"2,645",680.0,University Ave,507,,,,,,,,
PALALT507,4,"2,675",720.0,University Ave,507,,,,,,,,
PALALT508,0,"2,555",865.0,University Ave,508,,,,,,,,
PALALT508,1,"2,465",865.0,University Ave,508,,,,,,,,
PALALT508,2,"2,465",740.0,University Ave,508,,,,,,,,
PALALT508,3,"2,555",740.0,University Ave,508,,,,,,,,
PALALT509,0,"2,465",865.0,University Ave,509,,,,,,,,
PALALT509,1,"2,385",865.0,University Ave,509,,,,,,,,
PALALT509,2,"2,385",740.0,University Ave,509,,,,,,,,
PALALT509,3,"2,465",740.0,University Ave,509,,,,,,,,
PALALT510,0,"2,385",865.0,University Ave,510,,,,,,,,
PALALT510,1,"2,265",865.0,University Ave,510,,,,,,,,
PALALT510,2,"2,265",740.0,University Ave,510,,,,,,,,
PALALT510,3,"2,385",740.0,University Ave,510,,,,,,,,
PALALT511,0,"2,370",1075.0,University Ave,511,,,,,,,,
PALALT511,1,"2,370",920.0,University Ave,511,,,,,,,,
PALALT511,2,"2,230",920.0,University Ave,511,,,,,,,,
PALALT511,3,"2,230",1075.0,University Ave,511,,,,,,,,
PALALT512,0,"2,265",865.0,University Ave,512,,,,,,,,
PALALT512,1,"2,185",865.0,University Ave,512,,,,,,,,
PALALT512,2,"2,185",740.0,University Ave,512,,,,,,,,
PALALT512,3,"2,265",740.0,University Ave,512,,,,,,,,
PALALT513,0,"2,230",1075.0,University Ave,513,,,,,,,,
PALALT513,1,"2,095",1075.0,University Ave,513,,,,,,,,
PALALT513,2,"2,095",920.0,University Ave,513,,,,,,,,
PALALT513,3,"2,230",920.0,University Ave,513,,,,,,,,
PALALT514,0,"2,185",865.0,University Ave,514,,,,,,,,
PALALT514,1,"2,105",865.0,University Ave,514,,,,,,,,
PALALT514,2,"2,105",740.0,University Ave,514,,,,,,,,
PALALT514,3,"2,185",740.0,University Ave,514,,,,,,,,
PALALT515,0,"2,105",865.0,University Ave,515,,,,,,,,
PALALT515,1,"2,025",865.0,University Ave,515,,,,,,,,
PALALT515,2,"2,025",740.0,University Ave,515,,,,,,,,
