Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
NYCBWY701,0,"2,370",1640.0,Upper West Side,701,,,,,,,,
NYCBWY701,1,"2,370",1470.0,Upper West Side,701,,,,,,,,
NYCBWY701,2,"2,280",1470.0,Upper West Side,701,,,,,,,,
NYCBWY701,3,"2,280",1640.0,Upper West Side,701,,,,,,,,
NYCBWY702,0,"2,420",1915.0,Upper West Side,702,,,,,,,,
NYCBWY702,1,"2,420",1695.0,Upper West Side,702,,,,,,,,
NYCBWY702,2,"2,240",1695.0,Upper West Side,702,,,,,,,,
NYCBWY702,3,"2,240",1915.0,Upper West Side,702,,,,,,,,
NYCBWY703,0,"2,370",1640.0,Upper West Side,703,,,,,,,,
NYCBWY703,1,"2,470",1640.0,Upper West Side,703,,,,,,,,
NYCBWY703,2,"2,470",1470.0,Upper West Side,703,,,,,,,,
NYCBWY703,3,"2,370",1470.0,Upper West Side,703,,,,,,,,
NYCBWY704,0,"2,420",1915.0,Upper West Side,704,,,,,,,,
NYCBWY704,1,"2,605",1915.0,Upper West Side,704,,,,,,,,
NYCBWY704,2,"2,605",1695.0,Upper West Side,704,,,,,,,,
NYCBWY704,3,"2,420",1695.0,Upper West Side,704,,,,,,,,
NYCBWY705,0,"2,470",1640.0,Upper West Side,705,,,,,,,,
NYCBWY705,1,"2,610",1640.0,Upper West Side,705,,,,,,,,
NYCBWY705,2,"2,610",1470.0,Upper West Side,705,,,,,,,,
NYCBWY705,3,"2,470",1470.0,Upper West Side,705,,,,,,,,
NYCBWY706,0,"2,605",1915.0,Upper West Side,706,,,,,,,,
NYCBWY706,1,"2,755",1915.0,Upper West Side,706,,,,,,,,
NYCBWY706,2,"2,755",1695.0,Upper West Side,706,,,,,,,,
NYCBWY706,3,"2,605",1695.0,Upper West Side,706,,,,,,,,
NYCBWY707,0,"2,610",1640.0,Upper West Side,707,,,,,,,,
NYCBWY707,1,"2,695",1640.0,Upper West Side,707,,,,,,,,
NYCBWY707,2,"2,695",1470.0,Upper West Side,707,,,,,,,,
NYCBWY707,3,"2,610",1470.0,Upper West Side,707,,,,,,,,
NYCBWY708,0,"2,755",1915.0,Upper West Side,708,,,,,,,,
NYCBWY708,1,"2,875",1915.0,Upper West Side,708,,,,,,,,
NYCBWY708,2,"2,875",1695.0,Upper West Side,708,,,,,,,,
NYCBWY708,3,"2,755",1695.0,Upper West Side,708,,,,,,,,
NYCBWY709,0,"2,695",1640.0,Upper West Side,709,,,,,,,,
NYCBWY709,1,"2,785",1640.0,Upper West Side,709,,,,,,,,
NYCBWY709,2,"2,785",1470.0,Upper West Side,709,,,,,,,,
NYCBWY709,3,"2,695",1470.0,Upper West Side,709,,,,,,,,
NYCBWY710,0,"2,785",1640.0,Upper West Side,710,,,,,,,,
