Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
AUSVPLA201,0,2325,620.0,Victory Plaza,201,,,,,,,,
AUSVPLA201,1,2325,850.0,Victory Plaza,201,,,,,,,,
AUSVPLA201,2,2180,850.0,Victory Plaza,201,,,,,,,,
AUSVPLA201,3,2180,620.0,Victory Plaza,201,,,,,,,,
AUSVPLA202,0,2245,1030.0,Victory Plaza,202,,,,,,,,
AUSVPLA202,1,2245,910.0,Victory Plaza,202,,,,,,,,
AUSVPLA202,2,2115,910.0,Victory Plaza,202,,,,,,,,
AUSVPLA202,3,2115,1030.0,Victory Plaza,202,,,,,,,,
AUSVPLA203,0,2115,1030.0,Victory Plaza,203,,,,,,,,
AUSVPLA203,1,1990,1030.0,Victory Plaza,203,,,,,,,,
AUSVPLA203,2,1990,910.0,Victory Plaza,203,,,,,,,,
AUSVPLA203,3,2115,910.0,Victory Plaza,203,,,,,,,,
AUSVPLA204,0,2180,850.0,Victory Plaza,204,,,,,,,,
AUSVPLA204,1,1970,850.0,Victory Plaza,204,,,,,,,,
AUSVPLA204,2,1970,620.0,Victory Plaza,204,,,,,,,,
AUSVPLA204,3,2180,620.0,Victory Plaza,204,,,,,,,,
AUSVPLA205,0,1970,850.0,Victory Plaza,205,,,,,,,,
AUSVPLA205,1,1760,850.0,Victory Plaza,205,,,,,,,,
AUSVPLA205,2,1760,620.0,Victory Plaza,205,,,,,,,,
AUSVPLA205,3,1970,620.0,Victory Plaza,205,,,,,,,,
AUSVPLA206,0,1990,1030.0,Victory Plaza,206,,,,,,,,
AUSVPLA206,1,1865,1030.0,Victory Plaza,206,,,,,,,,
AUSVPLA206,2,1865,910.0,Victory Plaza,206,,,,,,,,
AUSVPLA206,3,1990,910.0,Victory Plaza,206,,,,,,,,
AUSVPLA207,0,1865,1030.0,Victory Plaza,207,,,,,,,,
AUSVPLA207,1,1740,1030.0,Victory Plaza,207,,,,,,,,
AUSVPLA207,2,1740,910.0,Victory Plaza,207,,,,,,,,
AUSVPLA207,3,1865,910.0,Victory Plaza,207,,,,,,,,
AUSVPLA208,0,1740,1030.0,Victory Plaza,208,,,,,,,,
AUSVPLA208,1,1740,1130.0,Victory Plaza,208,,,,,,,,
AUSVPLA208,2,1895,1130.0,Victory Plaza,208,,,,,,,,
AUSVPLA208,3,1895,1030.0,Victory Plaza,208,,,,,,,,
AUSVPLA209,0,1895,1130.0,Victory Plaza,209,,,,,,,,
AUSVPLA209,1,2045,1130.0,Victory Plaza,209,,,,,,,,
AUSVPLA209,2,2045,1030.0,Victory Plaza,209,,,,,,,,
AUSVPLA209,3,1895,1030.0,Victory Plaza,209,,,,,,,,
AUSVPLA210,0,1680,1065.0,Victory Plaza,210,,,,,,,,
AUSVPLA210,1,1680,910.0,Victory Plaza,210,,,,,,,,
AUSVPLA210,2,1590,910.0,Victory Plaza,210,,,,,,,,
AUSVPLA210,3,1590,1065.0,Victory Plaza,210,,,,,,,,
AUSVPLA211,0,1760,850.0,Victory Plaza,211,,,,,,,,
AUSVPLA211,1,1550,850.0,Victory Plaza,211,,,,,,,,
AUSVPLA211,2,1550,620.0,Victory Plaza,211,,,,,,,,
AUSVPLA211,3,1760,620.0,Victory Plaza,211,,,,,,,,
AUSVPLA212,0,1590,1065.0,Victory Plaza,212,,,,,,,,
AUSVPLA212,1,1525,1065.0,Victory Plaza,212,,,,,,,,
AUSVPLA212,2,1525,1035.0,Victory Plaza,212,,,,,,,,
AUSVPLA212,3,1495,1035.0,Victory Plaza,212,,,,,,,,
AUSVPLA212,4,1495,910.0,Victory Plaza,212,,,,,,,,
AUSVPLA212,5,1590,910.0,Victory Plaza,212,,,,,,,,
AUSVPLA213,0,1550,850.0,Victory Plaza,213,,,,,,,,
AUSVPLA213,1,1340,850.0,Victory Plaza,213,,,,,,,,
AUSVPLA213,2,1340,620.0,Victory Plaza,213,,,,,,,,
AUSVPLA213,3,1550,620.0,Victory Plaza,213,,,,,,,,
AUSVPLA214,0,1495,1035.0,Victory Plaza,214,,,,,,,,
AUSVPLA214,1,1410,1035.0,Victory Plaza,214,,,,,,,,
AUSVPLA214,2,1410,910.0,Victory Plaza,214,,,,,,,,
AUSVPLA214,3,1495,910.0,Victory Plaza,214,,,,,,,,
AUSVPLA215,0,1410,1035.0,Victory Plaza,215,,,,,,,,
AUSVPLA215,1,1315,1035.0,Victory Plaza,215,,,,,,,,
AUSVPLA215,2,1315,910.0,Victory Plaza,215,,,,,,,,
AUSVPLA215,3,1410,910.0,Victory Plaza,215,,,,,,,,
AUSVPLA216,0,1340,850.0,Victory Plaza,216,,,,,,,,
AUSVPLA216,1,1205,850.0,Victory Plaza,216,,,,,,,,
AUSVPLA216,2,1205,620.0,Victory Plaza,216,,,,,,,,
AUSVPLA216,3,1340,620.0,Victory Plaza,216,,,,,,,,
AUSVPLA217,0,1315,1035.0,Victory Plaza,217,,,,,,,,
