Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
NYCWALWELL,0,1822,852.0,Wall Street,1001,,,,,,,,
NYCWALWELL,1,1911,851.0,Wall Street,1001,,,,,,,,
NYCWALWELL,2,1911,778.0,Wall Street,1001,,,,,,,,
NYCWALWELL,3,1820,777.0,Wall Street,1001,,,,,,,,
NYCWAL1002,0,1855,1142.0,Wall Street,1002,,,,,,,,
NYCWAL1002,1,1856,854.0,Wall Street,1002,,,,,,,,
NYCWAL1002,2,1911,851.0,Wall Street,1002,,,,,,,,
NYCWAL1002,3,1911,778.0,Wall Street,1002,,,,,,,,
NYCWAL1002,4,2123,778.0,Wall Street,1002,,,,,,,,
NYCWAL1002,5,2120,1140.0,Wall Street,1002,,,,,,,,
NYCWAL1003,0,2122,1109.0,Wall Street,1003,,,,,,,,
NYCWAL1003,1,2141,1110.0,Wall Street,1003,,,,,,,,
NYCWAL1003,2,2222,1029.0,Wall Street,1003,,,,,,,,
NYCWAL1003,3,2223,1009.0,Wall Street,1003,,,,,,,,
NYCWAL1003,4,2245,1009.0,Wall Street,1003,,,,,,,,
NYCWAL1003,5,2245,776.0,Wall Street,1003,,,,,,,,
NYCWAL1003,6,2123,776.0,Wall Street,1003,,,,,,,,
NYCWAL1004,0,2245,1009.0,Wall Street,1004,,,,,,,,
NYCWAL1004,1,2399,1010.0,Wall Street,1004,,,,,,,,
NYCWAL1004,2,2401,780.0,Wall Street,1004,,,,,,,,
NYCWAL1004,3,2245,776.0,Wall Street,1004,,,,,,,,
NYCWAL1005,0,2399,1010.0,Wall Street,1005,,,,,,,,
NYCWAL1005,1,2498,1010.0,Wall Street,1005,,,,,,,,
NYCWAL1005,2,2498,777.0,Wall Street,1005,,,,,,,,
NYCWAL1005,3,2401,780.0,Wall Street,1005,,,,,,,,
NYCWAL1006,0,2498,1010.0,Wall Street,1006,,,,,,,,
NYCWAL1006,1,2599,1011.0,Wall Street,1006,,,,,,,,
NYCWAL1006,2,2642,719.0,Wall Street,1006,,,,,,,,
NYCWAL1006,3,2498,717.0,Wall Street,1006,,,,,,,,
NYCWAL1008,0,2501,720.0,Wall Street,1008,,,,,,,,
NYCWAL1008,1,2500,121.0,Wall Street,1008,,,,,,,,
NYCWAL1008,2,2720,121.0,Wall Street,1008,,,,,,,,
NYCWAL1008,3,2640,720.0,Wall Street,1008,,,,,,,,
NYCWAL1009,0,2299,438.0,Wall Street,1009,,,,,,,,
NYCWAL1009,1,2500,437.0,Wall Street,1009,,,,,,,,
NYCWAL1009,2,2498,121.0,Wall Street,1009,,,,,,,,
NYCWAL1009,3,2292,122.0,Wall Street,1009,,,,,,,,
NYCWAL1010,0,2300,728.0,Wall Street,1010,,,,,,,,
NYCWAL1010,1,2300,633.0,Wall Street,1010,,,,,,,,
NYCWAL1010,2,2247,636.0,Wall Street,1010,,,,,,,,
NYCWAL1010,3,2250,480.0,Wall Street,1010,,,,,,,,
NYCWAL1010,4,2442,483.0,Wall Street,1010,,,,,,,,
NYCWAL1010,5,2442,732.0,Wall Street,1010,,,,,,,,
NYCWAL1011,0,2096,434.0,Wall Street,1011,,,,,,,,
NYCWAL1011,1,2299,438.0,Wall Street,1011,,,,,,,,
NYCWAL1011,2,2295,196.0,Wall Street,1011,,,,,,,,
NYCWAL1011,3,2094,195.0,Wall Street,1011,,,,,,,,
NYCWAL1012,0,1873,438.0,Wall Street,1012,,,,,,,,
NYCWAL1012,1,2096,434.0,Wall Street,1012,,,,,,,,
NYCWAL1012,2,2094,195.0,Wall Street,1012,,,,,,,,
NYCWAL1012,3,1874,192.0,Wall Street,1012,,,,,,,,
NYCWAL1013,0,1873,438.0,Wall Street,1013,,,,,,,,
NYCWAL1013,1,1691,437.0,Wall Street,1013,,,,,,,,
NYCWAL1013,2,1692,194.0,Wall Street,1013,,,,,,,,
NYCWAL1013,3,1874,192.0,Wall Street,1013,,,,,,,,
NYCWAL1014,0,1474,435.0,Wall Street,1014,,,,,,,,
NYCWAL1014,1,1691,437.0,Wall Street,1014,,,,,,,,
NYCWAL1014,2,1692,194.0,Wall Street,1014,,,,,,,,
NYCWAL1014,3,1473,194.0,Wall Street,1014,,,,,,,,
NYCWAL1015,0,1272,436.0,Wall Street,1015,,,,,,,,
NYCWAL1015,1,1474,435.0,Wall Street,1015,,,,,,,,
NYCWAL1015,2,1473,194.0,Wall Street,1015,,,,,,,,
NYCWAL1015,3,1276,194.0,Wall Street,1015,,,,,,,,
NYCWAL1016,0,1166,436.0,Wall Street,1016,,,,,,,,
NYCWAL1016,1,1272,436.0,Wall Street,1016,,,,,,,,
NYCWAL1016,2,1273,130.0,Wall Street,1016,,,,,,,,
NYCWAL1016,3,1164,131.0,Wall Street,1016,,,,,,,,
NYCWAL1017,0,1166,436.0,Wall Street,1017,,,,,,,,
NYCWAL1017,1,960,436.0,Wall Street,1017,,,,,,,,
NYCWAL1017,2,959,131.0,Wall Street,1017,,,,,,,,
NYCWAL1017,3,1164,131.0,Wall Street,1017,,,,,,,,
NYCWAL1018,0,755,341.0,Wall Street,1018,,,,,,,,
NYCWAL1018,1,784,336.0,Wall Street,1018,,,,,,,,
NYCWAL1018,2,782,435.0,Wall Street,1018,,,,,,,,
NYCWAL1018,3,960,436.0,Wall Street,1018,,,,,,,,
NYCWAL1018,4,959,125.0,Wall Street,1018,,,,,,,,
NYCWAL1018,5,820,125.0,Wall Street,1018,,,,,,,,
NYCWAL1019,0,605,861.0,Wall Street,1019,,,,,,,,
NYCWAL1019,1,617,823.0,Wall Street,1019,,,,,,,,
NYCWAL1019,2,606,819.0,Wall Street,1019,,,,,,,,
NYCWAL1019,3,625,767.0,Wall Street,1019,,,,,,,,
NYCWAL1019,4,793,766.0,Wall Street,1019,,,,,,,,
NYCWAL1019,5,791,862.0,Wall Street,1019,,,,,,,,
NYCWAL1020,0,574,1019.0,Wall Street,1020,,,,,,,,
NYCWAL1020,1,717,1020.0,Wall Street,1020,,,,,,,,
NYCWAL1020,2,717,912.0,Wall Street,1020,,,,,,,,
