Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
WASMAS901,0,1474,263.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS001,0,826,752.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS001,1,974,683.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS001,2,913,548.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS001,3,735,548.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS002,0,1117,499.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS002,1,1002,499.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS002,2,1002,403.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS002,3,1117,403.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS003,0,1002,499.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS003,1,896,499.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS003,2,896,403.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS003,3,1002,403.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS004,0,896,499.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS004,1,776,499.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS004,2,776,403.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS004,3,896,403.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS005,0,776,499.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS005,1,668,499.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS005,2,666,402.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS005,3,776,403.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS006,0,668,499.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS006,1,536,499.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS006,2,492,402.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS006,3,668,401.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS007,0,584,401.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS007,1,584,307.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS007,2,490,307.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS007,3,490,394.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS007,4,492,402.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS008,0,584,307.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS008,1,669,307.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS008,2,668,401.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS008,3,584,401.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS009,0,669,307.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS009,1,776,307.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS009,2,776,403.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS009,3,668,401.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS010,0,776,307.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS010,1,896,307.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS010,2,896,403.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS010,3,776,403.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS011,0,896,307.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS011,1,1002,307.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS011,2,1002,403.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS011,3,896,403.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS011,4,897,307.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS012,0,1002,307.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS012,1,1117,307.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS012,2,1117,403.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS012,3,1002,403.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS013,0,920,260.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS013,1,1146,260.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS013,2,1146,87.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS013,3,922,87.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS014,0,920,260.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS014,1,809,260.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS014,2,809,86.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS014,3,922,87.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS015,0,809,260.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS015,1,697,260.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS015,2,697,86.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS015,3,809,86.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS016,0,697,260.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS016,1,505,260.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS016,2,505,87.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS016,3,697,86.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS017,0,505,260.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS017,1,399,260.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS017,2,399,86.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS017,3,505,87.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS018,0,399,260.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS018,1,399,305.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS018,2,316.015625,305.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS018,3,216.015625,356.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS018,4,150.015625,220.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS018,5,150.015625,178.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS018,6,201.015625,102.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS018,7,240.015625,83.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS018,8,399,86.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS019,0,399,305.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS019,1,469.015625,462.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS019,2,299.015625,541.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS019,3,216.015625,356.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS019,4,316.015625,305.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS020,0,469.015625,462.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS020,1,530.015625,601.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS020,2,361.015625,678.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS020,3,299.015625,541.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS021,0,530.015625,601.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS021,1,615.015625,792.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS021,2,444.015625,870.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS021,3,361.015625,678.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS022,0,735,548.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS022,1,582.015625,548.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS022,2,582.015625,599.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS022,3,634.015625,713.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS022,4,779.015625,648.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS023,0,634.015625,713.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS023,1,680.015625,817.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS023,2,826,752.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS023,3,779.015625,648.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS024,0,615.015625,792.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS024,1,662.015625,895.5,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS024,2,490.015625,971.5,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS024,3,444.015625,870.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS025,0,490.015625,971.5,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS025,1,543.015625,1091.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS025,2,715.015625,1013.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS025,3,662.015625,895.5,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS026,0,715.015625,1013.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS026,1,771.015625,1138.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS026,2,600.015625,1213.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS026,3,584.015625,1210.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS026,4,533.015625,1097.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS026,5,543.015625,1091.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS027,0,771.015625,1138.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS027,1,864.015625,1350.5,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS027,2,715.015625,1418.5,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS027,3,622.015625,1205.5,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS028,0,864.015625,1350.5,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS028,1,929.015625,1494.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS028,2,754.015625,1574.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS028,3,741.015625,1571.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS028,4,686.015625,1446.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS028,5,693.015625,1427.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS029,0,930.015625,1492.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS029,1,968.015625,1583.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS029,2,795.015625,1658.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS029,3,758.015625,1573.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS030,0,968.015625,1583.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS030,1,1020.015625,1696.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS030,2,845.015625,1771.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS030,3,795.015625,1658.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS031,0,1020.015625,1696.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS031,1,1106.515625,1892.5,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS031,2,934.515625,1972.5,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS031,3,845.015625,1771.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS032,0,1106.515625,1892.5,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS032,1,1203.015625,2110.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS032,2,1029.015625,2186.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS032,3,934.515625,1972.5,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS033,0,1203.015625,2110.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS033,1,1277.015625,2276.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS033,2,1119.015625,2346.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS033,3,1101.015625,2342.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS033,4,1103.015625,2321.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS033,5,1089.015625,2319.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS033,6,1029.015625,2186.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS034,0,1119.015625,2346.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS034,1,1327.015625,2251.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS034,2,1394.515625,2406.5,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS034,3,1253.015625,2467.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS034,4,1167.015625,2453.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS034,5,1133.015625,2423.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS034,6,1146.015625,2409.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS035,0,1297.515625,2214.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS035,1,1264.515625,2134.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS035,2,1413.515625,2068.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS035,3,1447.515625,2145.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS036,0,1413.515625,2068.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS036,1,1383.515625,1999.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS036,2,1233.515625,2066.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS036,3,1264.515625,2134.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS037,0,1233.515625,2066.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS037,1,1202.515625,1996.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS037,2,1354.515625,1929.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS037,3,1383.515625,1998.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS038,0,1202.515625,1996.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS038,1,1159.515625,1898.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS038,2,1309.515625,1831.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS038,3,1352.515625,1928.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS039,0,1159.515625,1898.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS039,1,1128.515625,1830.5,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS039,2,1278.515625,1762.5,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS039,3,1309.515625,1831.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS040,0,1063.515625,1685.5,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS040,1,1021.515625,1589.5,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS040,2,1169.515625,1524.5,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS040,3,1212.515625,1620.5,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS041,0,1021.515625,1589.5,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS041,1,982.515625,1503.5,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS041,2,1129.515625,1436.5,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS041,3,1169.515625,1524.5,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS042,0,982.515625,1503.5,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS042,1,948.515625,1426.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS042,2,1096.515625,1361.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS042,3,1129.515625,1436.5,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS043,0,948.515625,1426.0,Washington DC - 650 Massachusetts,,,,,,,,,
WASMAS043,1,878.515625,1269.0,Washington DC - 650 Massachusetts,,,,,,,,,
