Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
LAXSET818,0,475,1805.0,West Hollywood,818,,,,,,,,
LAXSET818,1,325,1805.0,West Hollywood,818,,,,,,,,
LAXSET818,2,325,1675.0,West Hollywood,818,,,,,,,,
LAXSET818,3,20,1675.0,West Hollywood,818,,,,,,,,
LAXSET818,4,20,2070.0,West Hollywood,818,,,,,,,,
LAXSET818,5,475,2070.0,West Hollywood,818,,,,,,,,
LAXSET820,0,475,1805.0,West Hollywood,820,,,,,,,,
LAXSET820,1,790,1805.0,West Hollywood,820,,,,,,,,
LAXSET820,2,790,2070.0,West Hollywood,820,,,,,,,,
LAXSET820,3,475,2070.0,West Hollywood,820,,,,,,,,
LAXSET823,0,790,1805.0,West Hollywood,823,,,,,,,,
LAXSET823,1,1110,1805.0,West Hollywood,823,,,,,,,,
LAXSET823,2,1110,2070.0,West Hollywood,823,,,,,,,,
LAXSET823,3,790,2070.0,West Hollywood,823,,,,,,,,
LAXSET826,0,1110,1805.0,West Hollywood,826,,,,,,,,
LAXSET826,1,1340,1805.0,West Hollywood,826,,,,,,,,
LAXSET826,2,1340,2070.0,West Hollywood,826,,,,,,,,
LAXSET826,3,1110,2070.0,West Hollywood,826,,,,,,,,
LAXSET827,0,1340,1805.0,West Hollywood,827,,,,,,,,
LAXSET827,1,1645,1805.0,West Hollywood,827,,,,,,,,
LAXSET827,2,1645,2070.0,West Hollywood,827,,,,,,,,
LAXSET827,3,1340,2070.0,West Hollywood,827,,,,,,,,
LAXSET828,0,1645,1805.0,West Hollywood,828,,,,,,,,
LAXSET828,1,1860,1805.0,West Hollywood,828,,,,,,,,
LAXSET828,2,1860,2070.0,West Hollywood,828,,,,,,,,
LAXSET828,3,1645,2070.0,West Hollywood,828,,,,,,,,
LAXSET829,0,1860,2070.0,West Hollywood,829,,,,,,,,
LAXSET829,1,2075,2070.0,West Hollywood,829,,,,,,,,
LAXSET829,2,2075,1805.0,West Hollywood,829,,,,,,,,
LAXSET829,3,1860,1805.0,West Hollywood,829,,,,,,,,
