Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
LAWEST064,0,135,1570.0,Westwood,64,,,,,,,,
LAWEST064,1,135,1400.0,Westwood,64,,,,,,,,
LAWEST064,2,125,1400.0,Westwood,64,,,,,,,,
LAWEST064,3,125,1340.0,Westwood,64,,,,,,,,
LAWEST064,4,10,1340.0,Westwood,64,,,,,,,,
LAWEST064,5,10,1570.0,Westwood,64,,,,,,,,
LAWEST065,0,135,1570.0,Westwood,65,,,,,,,,
LAWEST065,1,300,1570.0,Westwood,65,,,,,,,,
LAWEST065,2,300,1400.0,Westwood,65,,,,,,,,
LAWEST065,3,135,1400.0,Westwood,65,,,,,,,,
LAWEST067,0,300,1570.0,Westwood,67,,,,,,,,
LAWEST067,1,405,1570.0,Westwood,67,,,,,,,,
LAWEST067,2,405,1400.0,Westwood,67,,,,,,,,
LAWEST067,3,300,1400.0,Westwood,67,,,,,,,,
LAWEST068,0,405,1570.0,Westwood,68,,,,,,,,
LAWEST068,1,565,1570.0,Westwood,68,,,,,,,,
LAWEST068,2,565,1400.0,Westwood,68,,,,,,,,
LAWEST068,3,405,1400.0,Westwood,68,,,,,,,,
LAWEST070,0,565,1570.0,Westwood,70,,,,,,,,
LAWEST070,1,685,1570.0,Westwood,70,,,,,,,,
LAWEST070,2,685,1400.0,Westwood,70,,,,,,,,
LAWEST070,3,565,1400.0,Westwood,70,,,,,,,,
LAWEST073,0,685,1570.0,Westwood,73,,,,,,,,
LAWEST073,1,835,1570.0,Westwood,73,,,,,,,,
LAWEST073,2,835,1400.0,Westwood,73,,,,,,,,
LAWEST073,3,685,1400.0,Westwood,73,,,,,,,,
LAWEST074,0,835,1570.0,Westwood,74,,,,,,,,
LAWEST074,1,995,1570.0,Westwood,74,,,,,,,,
LAWEST074,2,995,1400.0,Westwood,74,,,,,,,,
LAWEST074,3,835,1400.0,Westwood,74,,,,,,,,
LAWEST075,0,995,1570.0,Westwood,75,,,,,,,,
LAWEST075,1,1080,1570.0,Westwood,75,,,,,,,,
LAWEST075,2,1080,1400.0,Westwood,75,,,,,,,,
LAWEST075,3,995,1400.0,Westwood,75,,,,,,,,
LAWEST060,0,125,1165.0,Westwood,60,,,,,,,,
LAWEST060,1,125,1060.0,Westwood,60,,,,,,,,
LAWEST060,2,10,1060.0,Westwood,60,,,,,,,,
LAWEST060,3,10,1165.0,Westwood,60,,,,,,,,
LAWEST059,0,10,1060.0,Westwood,59,,,,,,,,
LAWEST059,1,10,940.0,Westwood,59,,,,,,,,
LAWEST059,2,190,940.0,Westwood,59,,,,,,,,
LAWEST059,3,190,1050.0,Westwood,59,,,,,,,,
LAWEST059,4,125,1050.0,Westwood,59,,,,,,,,
LAWEST059,5,125,1060.0,Westwood,59,,,,,,,,
LAWEST057,0,190,1050.0,Westwood,57,,,,,,,,
LAWEST057,1,255,1050.0,Westwood,57,,,,,,,,
LAWEST057,2,255,940.0,Westwood,57,,,,,,,,
LAWEST057,3,190,940.0,Westwood,57,,,,,,,,
LAWEST055,0,255,1050.0,Westwood,55,,,,,,,,
LAWEST055,1,405,1050.0,Westwood,55,,,,,,,,
LAWEST055,2,405,940.0,Westwood,55,,,,,,,,
LAWEST055,3,255,940.0,Westwood,55,,,,,,,,
LAWEST053,0,405,1050.0,Westwood,53,,,,,,,,
LAWEST053,1,470,1050.0,Westwood,53,,,,,,,,
LAWEST053,2,470,940.0,Westwood,53,,,,,,,,
LAWEST053,3,405,940.0,Westwood,53,,,,,,,,
LAWEST052,0,470,1050.0,Westwood,52,,,,,,,,
LAWEST052,1,565,1050.0,Westwood,52,,,,,,,,
LAWEST052,2,565,940.0,Westwood,52,,,,,,,,
LAWEST052,3,470,940.0,Westwood,52,,,,,,,,
LAWEST050,0,565,1050.0,Westwood,50,,,,,,,,
LAWEST050,1,665,1050.0,Westwood,50,,,,,,,,
LAWEST050,2,665,940.0,Westwood,50,,,,,,,,
LAWEST050,3,565,940.0,Westwood,50,,,,,,,,
LAWEST048,0,665,1050.0,Westwood,48,,,,,,,,
LAWEST048,1,725,1050.0,Westwood,48,,,,,,,,
LAWEST048,2,725,940.0,Westwood,48,,,,,,,,
LAWEST048,3,665,940.0,Westwood,48,,,,,,,,
LAWEST047,0,725,1050.0,Westwood,47,,,,,,,,
LAWEST047,1,835,1050.0,Westwood,47,,,,,,,,
LAWEST047,2,835,940.0,Westwood,47,,,,,,,,
LAWEST047,3,725,940.0,Westwood,47,,,,,,,,
LAWEST046,0,835,1050.0,Westwood,46,,,,,,,,
