Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
BKNWIL320,0,290,805.0,Williamsburg,320,,,,,,,,
BKNWIL320,1,285,1125.0,Williamsburg,320,,,,,,,,
BKNWIL320,2,60,1125.0,Williamsburg,320,,,,,,,,
BKNWIL320,3,60,775.0,Williamsburg,320,,,,,,,,
BKNWIL320,4,215,775.0,Williamsburg,320,,,,,,,,
BKNWIL320,5,215,805.0,Williamsburg,320,,,,,,,,
BKNWIL319,0,290,805.0,Williamsburg,319,,,,,,,,
BKNWIL319,1,290,515.0,Williamsburg,319,,,,,,,,
BKNWIL319,2,60,515.0,Williamsburg,319,,,,,,,,
BKNWIL319,3,60,775.0,Williamsburg,319,,,,,,,,
BKNWIL319,4,215,775.0,Williamsburg,319,,,,,,,,
BKNWIL319,5,215,805.0,Williamsburg,319,,,,,,,,
BKNWIL317,0,290,515.0,Williamsburg,317,,,,,,,,
BKNWIL317,1,405,515.0,Williamsburg,317,,,,,,,,
BKNWIL317,2,405,655.0,Williamsburg,317,,,,,,,,
BKNWIL317,3,290,655.0,Williamsburg,317,,,,,,,,
BKNWIL316,0,405,515.0,Williamsburg,316,,,,,,,,
BKNWIL316,1,530,515.0,Williamsburg,316,,,,,,,,
BKNWIL316,2,530,655.0,Williamsburg,316,,,,,,,,
BKNWIL316,3,405,655.0,Williamsburg,316,,,,,,,,
BKNWIL315,0,530,515.0,Williamsburg,315,,,,,,,,
BKNWIL315,1,655,515.0,Williamsburg,315,,,,,,,,
BKNWIL315,2,655,655.0,Williamsburg,315,,,,,,,,
BKNWIL315,3,530,655.0,Williamsburg,315,,,,,,,,
BKNWIL312,0,655,515.0,Williamsburg,312,,,,,,,,
BKNWIL312,1,780,515.0,Williamsburg,312,,,,,,,,
BKNWIL312,2,780,655.0,Williamsburg,312,,,,,,,,
BKNWIL312,3,655,655.0,Williamsburg,312,,,,,,,,
BKNWIL311,0,780,515.0,Williamsburg,311,,,,,,,,
BKNWIL311,1,1030,515.0,Williamsburg,311,,,,,,,,
BKNWIL311,2,1030,655.0,Williamsburg,311,,,,,,,,
BKNWIL311,3,780,655.0,Williamsburg,311,,,,,,,,
BKNWIL309,0,1030,515.0,Williamsburg,309,,,,,,,,
BKNWIL309,1,1155,515.0,Williamsburg,309,,,,,,,,
BKNWIL309,2,1155,655.0,Williamsburg,309,,,,,,,,
BKNWIL309,3,1030,655.0,Williamsburg,309,,,,,,,,
BKNWIL308,0,1155,515.0,Williamsburg,308,,,,,,,,
BKNWIL308,1,1275,515.0,Williamsburg,308,,,,,,,,
BKNWIL308,2,1275,655.0,Williamsburg,308,,,,,,,,
BKNWIL308,3,1155,655.0,Williamsburg,308,,,,,,,,
BKNWIL306,0,1275,515.0,Williamsburg,306,,,,,,,,
BKNWIL306,1,1400,515.0,Williamsburg,306,,,,,,,,
BKNWIL306,2,1400,655.0,Williamsburg,306,,,,,,,,
BKNWIL306,3,1275,655.0,Williamsburg,306,,,,,,,,
BKNWIL305,0,1400,515.0,Williamsburg,305,,,,,,,,
BKNWIL305,1,1525,515.0,Williamsburg,305,,,,,,,,
BKNWIL305,2,1525,655.0,Williamsburg,305,,,,,,,,
