Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
WLNDWY401,0,"1,200",1740.0,Woodland Waterway,401,,,,,,,,
WLNDWY401,1,"1,200",1550.0,Woodland Waterway,401,,,,,,,,
WLNDWY401,2,950,1550.0,Woodland Waterway,401,,,,,,,,
WLNDWY401,3,950,1740.0,Woodland Waterway,401,,,,,,,,
WLNDWY402,0,"1,085",1820.0,Woodland Waterway,402,,,,,,,,
WLNDWY402,1,890,1795.0,Woodland Waterway,402,,,,,,,,
WLNDWY402,2,800,1955.0,Woodland Waterway,402,,,,,,,,
WLNDWY402,3,"1,060",1990.0,Woodland Waterway,402,,,,,,,,
WLNDWY403,0,"1,200",1740.0,Woodland Waterway,403,,,,,,,,
WLNDWY403,1,"1,330",1740.0,Woodland Waterway,403,,,,,,,,
WLNDWY403,2,"1,330",1550.0,Woodland Waterway,403,,,,,,,,
WLNDWY403,3,"1,200",1550.0,Woodland Waterway,403,,,,,,,,
WLNDWY404,0,"1,060",1990.0,Woodland Waterway,404,,,,,,,,
WLNDWY404,1,"1,185",2005.0,Woodland Waterway,404,,,,,,,,
WLNDWY404,2,"1,205",1835.0,Woodland Waterway,404,,,,,,,,
WLNDWY404,3,"1,085",1820.0,Woodland Waterway,404,,,,,,,,
WLNDWY405,0,"1,330",1740.0,Woodland Waterway,405,,,,,,,,
WLNDWY405,1,"1,455",1740.0,Woodland Waterway,405,,,,,,,,
WLNDWY405,2,"1,455",1550.0,Woodland Waterway,405,,,,,,,,
WLNDWY405,3,"1,330",1550.0,Woodland Waterway,405,,,,,,,,
WLNDWY406,0,"1,185",2005.0,Woodland Waterway,406,,,,,,,,
WLNDWY406,1,"1,315",2015.0,Woodland Waterway,406,,,,,,,,
WLNDWY406,2,"1,320",1845.0,Woodland Waterway,406,,,,,,,,
WLNDWY406,3,"1,205",1835.0,Woodland Waterway,406,,,,,,,,
WLNDWY407,0,"1,455",1740.0,Woodland Waterway,407,,,,,,,,
WLNDWY407,1,"1,580",1740.0,Woodland Waterway,407,,,,,,,,
WLNDWY407,2,"1,580",1550.0,Woodland Waterway,407,,,,,,,,
WLNDWY407,3,"1,455",1550.0,Woodland Waterway,407,,,,,,,,
WLNDWY408,0,"1,315",2015.0,Woodland Waterway,408,,,,,,,,
WLNDWY408,1,"1,440",2025.0,Woodland Waterway,408,,,,,,,,
WLNDWY408,2,"1,445",1850.0,Woodland Waterway,408,,,,,,,,
WLNDWY408,3,"1,320",1845.0,Woodland Waterway,408,,,,,,,,
WLNDWY409,0,"1,580",1740.0,Woodland Waterway,409,,,,,,,,
WLNDWY409,1,"1,705",1740.0,Woodland Waterway,409,,,,,,,,
WLNDWY409,2,"1,705",1550.0,Woodland Waterway,409,,,,,,,,
WLNDWY409,3,"1,580",1550.0,Woodland Waterway,409,,,,,,,,
WLNDWY410,0,"1,440",2025.0,Woodland Waterway,410,,,,,,,,
WLNDWY410,1,"1,565",2030.0,Woodland Waterway,410,,,,,,,,
WLNDWY410,2,"1,565",1855.0,Woodland Waterway,410,,,,,,,,
WLNDWY410,3,"1,445",1850.0,Woodland Waterway,410,,,,,,,,
WLNDWY411,0,"1,565",2030.0,Woodland Waterway,411,,,,,,,,
WLNDWY411,1,"1,690",2030.0,Woodland Waterway,411,,,,,,,,
WLNDWY411,2,"1,690",1855.0,Woodland Waterway,411,,,,,,,,
WLNDWY411,3,"1,565",1855.0,Woodland Waterway,411,,,,,,,,
WLNDWY412,0,"1,690",2030.0,Woodland Waterway,412,,,,,,,,
WLNDWY412,1,"1,820",2030.0,Woodland Waterway,412,,,,,,,,
WLNDWY412,2,"1,815",1855.0,Woodland Waterway,412,,,,,,,,
WLNDWY412,3,"1,690",1855.0,Woodland Waterway,412,,,,,,,,
WLNDWY413,0,"1,945",1740.0,Woodland Waterway,413,,,,,,,,
WLNDWY413,1,"1,945",1550.0,Woodland Waterway,413,,,,,,,,
WLNDWY413,2,"1,825",1550.0,Woodland Waterway,413,,,,,,,,
WLNDWY413,3,"1,825",1740.0,Woodland Waterway,413,,,,,,,,
WLNDWY414,0,"1,820",2030.0,Woodland Waterway,414,,,,,,,,
WLNDWY414,1,"1,945",2025.0,Woodland Waterway,414,,,,,,,,
WLNDWY414,2,"1,935",1850.0,Woodland Waterway,414,,,,,,,,
WLNDWY414,3,"1,815",1855.0,Woodland Waterway,414,,,,,,,,
WLNDWY415,0,"1,945",1740.0,Woodland Waterway,415,,,,,,,,
WLNDWY415,1,"2,070",1740.0,Woodland Waterway,415,,,,,,,,
WLNDWY415,2,"2,070",1550.0,Woodland Waterway,415,,,,,,,,
WLNDWY415,3,"1,945",1550.0,Woodland Waterway,415,,,,,,,,
WLNDWY416,0,"1,945",2025.0,Woodland Waterway,416,,,,,,,,
WLNDWY416,1,"2,070",2015.0,Woodland Waterway,416,,,,,,,,
WLNDWY416,2,"2,055",1840.0,Woodland Waterway,416,,,,,,,,
WLNDWY416,3,"1,935",1850.0,Woodland Waterway,416,,,,,,,,
WLNDWY417,0,"2,070",1740.0,Woodland Waterway,417,,,,,,,,
WLNDWY417,1,"2,195",1740.0,Woodland Waterway,417,,,,,,,,
WLNDWY417,2,"2,195",1550.0,Woodland Waterway,417,,,,,,,,
WLNDWY417,3,"2,070",1550.0,Woodland Waterway,417,,,,,,,,
WLNDWY418,0,"2,070",2015.0,Woodland Waterway,418,,,,,,,,
WLNDWY418,1,"2,200",2000.0,Woodland Waterway,418,,,,,,,,
WLNDWY418,2,"2,180",1830.0,Woodland Waterway,418,,,,,,,,
WLNDWY418,3,"2,055",1840.0,Woodland Waterway,418,,,,,,,,
WLNDWY419,0,"2,195",1740.0,Woodland Waterway,419,,,,,,,,
WLNDWY419,1,"2,320",1740.0,Woodland Waterway,419,,,,,,,,
WLNDWY419,2,"2,320",1550.0,Woodland Waterway,419,,,,,,,,
WLNDWY419,3,"2,195",1550.0,Woodland Waterway,419,,,,,,,,
WLNDWY420,0,"2,200",2000.0,Woodland Waterway,420,,,,,,,,
WLNDWY420,1,"2,320",1990.0,Woodland Waterway,420,,,,,,,,
WLNDWY420,2,"2,295",1815.0,Woodland Waterway,420,,,,,,,,
WLNDWY420,3,"2,180",1830.0,Woodland Waterway,420,,,,,,,,
WLNDWY421,0,"2,320",1740.0,Woodland Waterway,421,,,,,,,,
WLNDWY421,1,"2,565",1710.0,Woodland Waterway,421,,,,,,,,
WLNDWY421,2,"2,565",1550.0,Woodland Waterway,421,,,,,,,,
WLNDWY421,3,"2,320",1550.0,Woodland Waterway,421,,,,,,,,
WLNDWY422,0,"2,320",1990.0,Woodland Waterway,422,,,,,,,,
WLNDWY422,1,"2,450",1970.0,Woodland Waterway,422,,,,,,,,
WLNDWY422,2,"2,420",1800.0,Woodland Waterway,422,,,,,,,,
WLNDWY422,3,"2,295",1815.0,Woodland Waterway,422,,,,,,,,
WLNDWY423,0,"2,630",1680.0,Woodland Waterway,423,,,,,,,,
WLNDWY423,1,"2,755",1680.0,Woodland Waterway,423,,,,,,,,
WLNDWY423,2,"2,755",1495.0,Woodland Waterway,423,,,,,,,,
WLNDWY423,3,"2,630",1495.0,Woodland Waterway,423,,,,,,,,
WLNDWY424,0,"2,450",1970.0,Woodland Waterway,424,,,,,,,,
WLNDWY424,1,"2,580",1950.0,Woodland Waterway,424,,,,,,,,
WLNDWY424,2,"2,540",1780.0,Woodland Waterway,424,,,,,,,,
WLNDWY424,3,"2,420",1800.0,Woodland Waterway,424,,,,,,,,
WLNDWY425,0,"2,755",1680.0,Woodland Waterway,425,,,,,,,,
WLNDWY425,1,"2,880",1680.0,Woodland Waterway,425,,,,,,,,
WLNDWY425,2,"2,880",1495.0,Woodland Waterway,425,,,,,,,,
WLNDWY425,3,"2,755",1495.0,Woodland Waterway,425,,,,,,,,
WLNDWY426,0,"2,580",1950.0,Woodland Waterway,426,,,,,,,,
WLNDWY426,1,"2,840",1895.0,Woodland Waterway,426,,,,,,,,
WLNDWY426,2,"2,845",1740.0,Woodland Waterway,426,,,,,,,,
WLNDWY426,3,"2,715",1745.0,Woodland Waterway,426,,,,,,,,
WLNDWY426,4,"2,540",1780.0,Woodland Waterway,426,,,,,,,,
WLNDWY427,0,"2,880",1680.0,Woodland Waterway,427,,,,,,,,
WLNDWY427,1,"3,050",1680.0,Woodland Waterway,427,,,,,,,,
WLNDWY427,2,"3,050",1560.0,Woodland Waterway,427,,,,,,,,
WLNDWY427,3,"2,880",1560.0,Woodland Waterway,427,,,,,,,,
WLNDWY428,0,"3,115",1680.0,Woodland Waterway,428,,,,,,,,
WLNDWY428,1,"3,280",1680.0,Woodland Waterway,428,,,,,,,,
WLNDWY428,2,"3,280",1475.0,Woodland Waterway,428,,,,,,,,
WLNDWY428,3,"3,115",1475.0,Woodland Waterway,428,,,,,,,,
WLNDWY429,0,"3,050",1560.0,Woodland Waterway,429,,,,,,,,
WLNDWY429,1,"3,050",1445.0,Woodland Waterway,429,,,,,,,,
WLNDWY429,2,"2,880",1445.0,Woodland Waterway,429,,,,,,,,
WLNDWY429,3,"2,880",1560.0,Woodland Waterway,429,,,,,,,,
WLNDWY430,0,"3,280",1475.0,Woodland Waterway,430,,,,,,,,
WLNDWY430,1,"3,280",1345.0,Woodland Waterway,430,,,,,,,,
WLNDWY430,2,"3,115",1345.0,Woodland Waterway,430,,,,,,,,
WLNDWY430,3,"3,115",1475.0,Woodland Waterway,430,,,,,,,,
WLNDWY431,0,"3,050",1445.0,Woodland Waterway,431,,,,,,,,
WLNDWY431,1,"3,050",1330.0,Woodland Waterway,431,,,,,,,,
WLNDWY431,2,"2,880",1330.0,Woodland Waterway,431,,,,,,,,
WLNDWY431,3,"2,880",1445.0,Woodland Waterway,431,,,,,,,,
WLNDWY432,0,"3,280",1345.0,Woodland Waterway,432,,,,,,,,
WLNDWY432,1,"3,280",1225.0,Woodland Waterway,432,,,,,,,,
WLNDWY432,2,"3,115",1225.0,Woodland Waterway,432,,,,,,,,
WLNDWY432,3,"3,115",1345.0,Woodland Waterway,432,,,,,,,,
WLNDWY433,0,"3,050",1330.0,Woodland Waterway,433,,,,,,,,
WLNDWY433,1,"3,050",1210.0,Woodland Waterway,433,,,,,,,,
WLNDWY433,2,"2,880",1210.0,Woodland Waterway,433,,,,,,,,
WLNDWY433,3,"2,880",1330.0,Woodland Waterway,433,,,,,,,,
WLNDWY434,0,"3,280",1225.0,Woodland Waterway,434,,,,,,,,
WLNDWY434,1,"3,280",1095.0,Woodland Waterway,434,,,,,,,,
WLNDWY434,2,"3,115",1095.0,Woodland Waterway,434,,,,,,,,
WLNDWY434,3,"3,115",1225.0,Woodland Waterway,434,,,,,,,,
WLNDWY435,0,"2,910",1150.0,Woodland Waterway,435,,,,,,,,
WLNDWY435,1,"3,050",1150.0,Woodland Waterway,435,,,,,,,,
WLNDWY435,2,"3,050",980.0,Woodland Waterway,435,,,,,,,,
WLNDWY435,3,"2,910",980.0,Woodland Waterway,435,,,,,,,,
WLNDWY436,0,"3,280",1095.0,Woodland Waterway,436,,,,,,,,
WLNDWY436,1,"3,280",975.0,Woodland Waterway,436,,,,,,,,
WLNDWY436,2,"3,115",975.0,Woodland Waterway,436,,,,,,,,
WLNDWY436,3,"3,115",1095.0,Woodland Waterway,436,,,,,,,,
WLNDWY437,0,"3,050",980.0,Woodland Waterway,437,,,,,,,,
WLNDWY437,1,"3,050",805.0,Woodland Waterway,437,,,,,,,,
WLNDWY437,2,"2,910",805.0,Woodland Waterway,437,,,,,,,,
WLNDWY437,3,"2,910",980.0,Woodland Waterway,437,,,,,,,,
WLNDWY438,0,"3,280",975.0,Woodland Waterway,438,,,,,,,,
WLNDWY438,1,"3,280",810.0,Woodland Waterway,438,,,,,,,,
WLNDWY438,2,"3,115",810.0,Woodland Waterway,438,,,,,,,,
WLNDWY438,3,"3,115",975.0,Woodland Waterway,438,,,,,,,,
WLNDWY439,0,"3,215",690.0,Woodland Waterway,439,,,,,,,,
WLNDWY439,1,"3,215",525.0,Woodland Waterway,439,,,,,,,,
WLNDWY439,2,"3,085",525.0,Woodland Waterway,439,,,,,,,,
WLNDWY439,3,"3,085",690.0,Woodland Waterway,439,,,,,,,,
WLNDWY440,0,"3,085",690.0,Woodland Waterway,440,,,,,,,,
WLNDWY440,1,"2,960",690.0,Woodland Waterway,440,,,,,,,,
WLNDWY440,2,"2,960",525.0,Woodland Waterway,440,,,,,,,,
WLNDWY440,3,"3,085",525.0,Woodland Waterway,440,,,,,,,,
WLNDWY441,0,"2,910",980.0,Woodland Waterway,441,,,,,,,,
WLNDWY441,1,"2,775",980.0,Woodland Waterway,441,,,,,,,,
WLNDWY441,2,"2,775",805.0,Woodland Waterway,441,,,,,,,,
WLNDWY441,3,"2,910",805.0,Woodland Waterway,441,,,,,,,,
WLNDWY442,0,"2,690",715.0,Woodland Waterway,442,,,,,,,,
WLNDWY442,1,"2,840",715.0,Woodland Waterway,442,,,,,,,,
WLNDWY442,2,"2,840",545.0,Woodland Waterway,442,,,,,,,,
WLNDWY442,3,"2,690",535.0,Woodland Waterway,442,,,,,,,,
WLNDWY443,0,"2,775",980.0,Woodland Waterway,443,,,,,,,,
WLNDWY443,1,"2,630",980.0,Woodland Waterway,443,,,,,,,,
WLNDWY443,2,"2,630",805.0,Woodland Waterway,443,,,,,,,,
WLNDWY443,3,"2,775",805.0,Woodland Waterway,443,,,,,,,,
WLNDWY444,0,"2,690",715.0,Woodland Waterway,444,,,,,,,,
WLNDWY444,1,"2,580",720.0,Woodland Waterway,444,,,,,,,,
WLNDWY444,2,"2,565",545.0,Woodland Waterway,444,,,,,,,,
WLNDWY444,3,"2,690",535.0,Woodland Waterway,444,,,,,,,,
WLNDWY445,0,"2,565",1025.0,Woodland Waterway,445,,,,,,,,
WLNDWY445,1,"2,565",805.0,Woodland Waterway,445,,,,,,,,
WLNDWY445,2,"2,435",835.0,Woodland Waterway,445,,,,,,,,
WLNDWY445,3,"2,435",1025.0,Woodland Waterway,445,,,,,,,,
WLNDWY446,0,"2,580",720.0,Woodland Waterway,446,,,,,,,,
WLNDWY446,1,"2,470",735.0,Woodland Waterway,446,,,,,,,,
WLNDWY446,2,"2,435",560.0,Woodland Waterway,446,,,,,,,,
WLNDWY446,3,"2,565",545.0,Woodland Waterway,446,,,,,,,,
WLNDWY447,0,"2,435",1025.0,Woodland Waterway,447,,,,,,,,
WLNDWY447,1,"2,300",1025.0,Woodland Waterway,447,,,,,,,,
WLNDWY447,2,"2,300",850.0,Woodland Waterway,447,,,,,,,,
WLNDWY447,3,"2,435",835.0,Woodland Waterway,447,,,,,,,,
WLNDWY448,0,"2,470",735.0,Woodland Waterway,448,,,,,,,,
WLNDWY448,1,"2,350",760.0,Woodland Waterway,448,,,,,,,,
WLNDWY448,2,"2,310",585.0,Woodland Waterway,448,,,,,,,,
WLNDWY448,3,"2,435",560.0,Woodland Waterway,448,,,,,,,,
WLNDWY449,0,"2,300",1025.0,Woodland Waterway,449,,,,,,,,
WLNDWY449,1,"2,170",1025.0,Woodland Waterway,449,,,,,,,,
WLNDWY449,2,"2,170",855.0,Woodland Waterway,449,,,,,,,,
WLNDWY449,3,"2,300",850.0,Woodland Waterway,449,,,,,,,,
WLNDWY450,0,"2,350",760.0,Woodland Waterway,450,,,,,,,,
WLNDWY450,1,"2,210",780.0,Woodland Waterway,450,,,,,,,,
