Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
TORBLO501,0,2558,1532.0,Yonge & Bloor - UPDATED,501,,,,,,,,
TORBLO501,1,2727,1532.0,Yonge & Bloor - UPDATED,501,,,,,,,,
TORBLO501,2,2729,1375.0,Yonge & Bloor - UPDATED,501,,,,,,,,
TORBLO501,3,2560,1377.0,Yonge & Bloor - UPDATED,501,,,,,,,,
TORBLO502,0,2559,1461.0,Yonge & Bloor - UPDATED,502,,,,,,,,
TORBLO502,1,2413,1463.0,Yonge & Bloor - UPDATED,502,,,,,,,,
TORBLO502,2,2412,1374.0,Yonge & Bloor - UPDATED,502,,,,,,,,
TORBLO502,3,2560,1377.0,Yonge & Bloor - UPDATED,502,,,,,,,,
TORBLO503,0,2389,1583.0,Yonge & Bloor - UPDATED,503,,,,,,,,
TORBLO503,1,2493,1584.0,Yonge & Bloor - UPDATED,503,,,,,,,,
TORBLO503,2,2493,1517.0,Yonge & Bloor - UPDATED,503,,,,,,,,
TORBLO503,3,2390,1515.0,Yonge & Bloor - UPDATED,503,,,,,,,,
TORBLO504,0,2312,1463.0,Yonge & Bloor - UPDATED,504,,,,,,,,
TORBLO504,1,2413,1463.0,Yonge & Bloor - UPDATED,504,,,,,,,,
TORBLO504,2,2412,1374.0,Yonge & Bloor - UPDATED,504,,,,,,,,
TORBLO504,3,2314,1375.0,Yonge & Bloor - UPDATED,504,,,,,,,,
TORBLO505,0,2283,1585.0,Yonge & Bloor - UPDATED,505,,,,,,,,
TORBLO505,1,2389,1583.0,Yonge & Bloor - UPDATED,505,,,,,,,,
TORBLO505,2,2390,1515.0,Yonge & Bloor - UPDATED,505,,,,,,,,
TORBLO505,3,2285,1516.0,Yonge & Bloor - UPDATED,505,,,,,,,,
TORBLO506,0,2312,1463.0,Yonge & Bloor - UPDATED,506,,,,,,,,
TORBLO506,1,2208,1464.0,Yonge & Bloor - UPDATED,506,,,,,,,,
TORBLO506,2,2208,1374.0,Yonge & Bloor - UPDATED,506,,,,,,,,
TORBLO506,3,2314,1375.0,Yonge & Bloor - UPDATED,506,,,,,,,,
TORBLO507,0,2113,1464.0,Yonge & Bloor - UPDATED,507,,,,,,,,
TORBLO507,1,2208,1464.0,Yonge & Bloor - UPDATED,507,,,,,,,,
TORBLO507,2,2208,1374.0,Yonge & Bloor - UPDATED,507,,,,,,,,
TORBLO507,3,2112,1375.0,Yonge & Bloor - UPDATED,507,,,,,,,,
TORBLO508,0,2113,1464.0,Yonge & Bloor - UPDATED,508,,,,,,,,
TORBLO508,1,2008,1464.0,Yonge & Bloor - UPDATED,508,,,,,,,,
TORBLO508,2,2009,1374.0,Yonge & Bloor - UPDATED,508,,,,,,,,
TORBLO508,3,2112,1375.0,Yonge & Bloor - UPDATED,508,,,,,,,,
TORBLO509,0,1449,1655.0,Yonge & Bloor - UPDATED,509,,,,,,,,
TORBLO509,1,1641,1653.0,Yonge & Bloor - UPDATED,509,,,,,,,,
TORBLO509,2,1639,1529.0,Yonge & Bloor - UPDATED,509,,,,,,,,
TORBLO509,3,1447,1528.0,Yonge & Bloor - UPDATED,509,,,,,,,,
TORBLO510,0,1346,1655.0,Yonge & Bloor - UPDATED,510,,,,,,,,
TORBLO510,1,1449,1655.0,Yonge & Bloor - UPDATED,510,,,,,,,,
TORBLO510,2,1447,1528.0,Yonge & Bloor - UPDATED,510,,,,,,,,
TORBLO510,3,1348,1530.0,Yonge & Bloor - UPDATED,510,,,,,,,,
TORBLO511,0,1238,1791.0,Yonge & Bloor - UPDATED,511,,,,,,,,
TORBLO511,1,1338,1792.0,Yonge & Bloor - UPDATED,511,,,,,,,,
TORBLO511,2,1339,1706.0,Yonge & Bloor - UPDATED,511,,,,,,,,
TORBLO511,3,1237,1706.0,Yonge & Bloor - UPDATED,511,,,,,,,,
TORBLO512,0,1196,1657.0,Yonge & Bloor - UPDATED,512,,,,,,,,
TORBLO512,1,1346,1655.0,Yonge & Bloor - UPDATED,512,,,,,,,,
TORBLO512,2,1348,1530.0,Yonge & Bloor - UPDATED,512,,,,,,,,
TORBLO512,3,1195,1527.0,Yonge & Bloor - UPDATED,512,,,,,,,,
TORBLO513,0,1138,1792.0,Yonge & Bloor - UPDATED,513,,,,,,,,
TORBLO513,1,1238,1791.0,Yonge & Bloor - UPDATED,513,,,,,,,,
TORBLO513,2,1237,1706.0,Yonge & Bloor - UPDATED,513,,,,,,,,
TORBLO513,3,1136,1704.0,Yonge & Bloor - UPDATED,513,,,,,,,,
TORBLO514,0,1041,1657.0,Yonge & Bloor - UPDATED,514,,,,,,,,
TORBLO514,1,1196,1657.0,Yonge & Bloor - UPDATED,514,,,,,,,,
TORBLO514,2,1195,1527.0,Yonge & Bloor - UPDATED,514,,,,,,,,
TORBLO514,3,1044,1528.0,Yonge & Bloor - UPDATED,514,,,,,,,,
TORBLO515,0,1040,1794.0,Yonge & Bloor - UPDATED,515,,,,,,,,
TORBLO515,1,1138,1792.0,Yonge & Bloor - UPDATED,515,,,,,,,,
TORBLO515,2,1136,1704.0,Yonge & Bloor - UPDATED,515,,,,,,,,
TORBLO515,3,1041,1705.0,Yonge & Bloor - UPDATED,515,,,,,,,,
TORBLO516,0,1041,1657.0,Yonge & Bloor - UPDATED,516,,,,,,,,
TORBLO516,1,890,1654.0,Yonge & Bloor - UPDATED,516,,,,,,,,
TORBLO516,2,891,1528.0,Yonge & Bloor - UPDATED,516,,,,,,,,
TORBLO516,3,1044,1528.0,Yonge & Bloor - UPDATED,516,,,,,,,,
TORBLO517,0,1040,1794.0,Yonge & Bloor - UPDATED,517,,,,,,,,
TORBLO517,1,958,1789.0,Yonge & Bloor - UPDATED,517,,,,,,,,
TORBLO517,2,957,1703.0,Yonge & Bloor - UPDATED,517,,,,,,,,
TORBLO517,3,1041,1705.0,Yonge & Bloor - UPDATED,517,,,,,,,,
TORBLO518,0,890,1654.0,Yonge & Bloor - UPDATED,518,,,,,,,,
TORBLO518,1,750,1653.0,Yonge & Bloor - UPDATED,518,,,,,,,,
TORBLO518,2,750,1532.0,Yonge & Bloor - UPDATED,518,,,,,,,,
TORBLO518,3,891,1528.0,Yonge & Bloor - UPDATED,518,,,,,,,,
TORBLO519,0,880,1790.0,Yonge & Bloor - UPDATED,519,,,,,,,,
TORBLO519,1,958,1789.0,Yonge & Bloor - UPDATED,519,,,,,,,,
TORBLO519,2,957,1703.0,Yonge & Bloor - UPDATED,519,,,,,,,,
TORBLO519,3,879,1705.0,Yonge & Bloor - UPDATED,519,,,,,,,,
TORBLO520,0,800,1792.0,Yonge & Bloor - UPDATED,520,,,,,,,,
TORBLO520,1,880,1790.0,Yonge & Bloor - UPDATED,520,,,,,,,,
TORBLO520,2,879,1705.0,Yonge & Bloor - UPDATED,520,,,,,,,,
TORBLO520,3,798,1703.0,Yonge & Bloor - UPDATED,520,,,,,,,,
TORBLO521,0,747,1826.0,Yonge & Bloor - UPDATED,521,,,,,,,,
TORBLO521,1,576,1828.0,Yonge & Bloor - UPDATED,521,,,,,,,,
TORBLO521,2,575,1525.0,Yonge & Bloor - UPDATED,521,,,,,,,,
TORBLO521,3,751,1528.0,Yonge & Bloor - UPDATED,521,,,,,,,,
TORBLO522,0,576,2131.0,Yonge & Bloor - UPDATED,522,,,,,,,,
TORBLO522,1,748,2135.0,Yonge & Bloor - UPDATED,522,,,,,,,,
TORBLO522,2,747,1826.0,Yonge & Bloor - UPDATED,522,,,,,,,,
TORBLO522,3,576,1828.0,Yonge & Bloor - UPDATED,522,,,,,,,,
TORBLO523,0,576,2293.0,Yonge & Bloor - UPDATED,523,,,,,,,,
TORBLO523,1,749,2294.0,Yonge & Bloor - UPDATED,523,,,,,,,,
TORBLO523,2,748,2135.0,Yonge & Bloor - UPDATED,523,,,,,,,,
TORBLO523,3,576,2131.0,Yonge & Bloor - UPDATED,523,,,,,,,,
TORBLO524,0,578,2457.0,Yonge & Bloor - UPDATED,524,,,,,,,,
TORBLO524,1,890,2456.0,Yonge & Bloor - UPDATED,524,,,,,,,,
TORBLO524,2,889,2323.0,Yonge & Bloor - UPDATED,524,,,,,,,,
TORBLO524,3,748,2324.0,Yonge & Bloor - UPDATED,524,,,,,,,,
TORBLO524,4,749,2294.0,Yonge & Bloor - UPDATED,524,,,,,,,,
TORBLO524,5,576,2293.0,Yonge & Bloor - UPDATED,524,,,,,,,,
TORBLO525,0,798,2274.0,Yonge & Bloor - UPDATED,525,,,,,,,,
TORBLO525,1,877,2273.0,Yonge & Bloor - UPDATED,525,,,,,,,,
TORBLO525,2,880,2179.0,Yonge & Bloor - UPDATED,525,,,,,,,,
TORBLO525,3,799,2180.0,Yonge & Bloor - UPDATED,525,,,,,,,,
TORBLO526,0,889,2323.0,Yonge & Bloor - UPDATED,526,,,,,,,,
TORBLO526,1,890,2456.0,Yonge & Bloor - UPDATED,526,,,,,,,,
TORBLO526,2,1042,2457.0,Yonge & Bloor - UPDATED,526,,,,,,,,
TORBLO526,3,1042,2326.0,Yonge & Bloor - UPDATED,526,,,,,,,,
TORBLO527,0,877,2273.0,Yonge & Bloor - UPDATED,527,,,,,,,,
TORBLO527,1,958,2274.0,Yonge & Bloor - UPDATED,527,,,,,,,,
TORBLO527,2,958,2180.0,Yonge & Bloor - UPDATED,527,,,,,,,,
TORBLO527,3,880,2179.0,Yonge & Bloor - UPDATED,527,,,,,,,,
TORBLO528,0,1042,2326.0,Yonge & Bloor - UPDATED,528,,,,,,,,
TORBLO528,1,1234,2323.0,Yonge & Bloor - UPDATED,528,,,,,,,,
TORBLO528,2,1233,2458.0,Yonge & Bloor - UPDATED,528,,,,,,,,
TORBLO528,3,1042,2457.0,Yonge & Bloor - UPDATED,528,,,,,,,,
TORBLO529,0,958,2274.0,Yonge & Bloor - UPDATED,529,,,,,,,,
TORBLO529,1,1036,2276.0,Yonge & Bloor - UPDATED,529,,,,,,,,
TORBLO529,2,1038,2179.0,Yonge & Bloor - UPDATED,529,,,,,,,,
TORBLO529,3,958,2180.0,Yonge & Bloor - UPDATED,529,,,,,,,,
TORBLO530,0,1233,2458.0,Yonge & Bloor - UPDATED,530,,,,,,,,
TORBLO530,1,1338,2457.0,Yonge & Bloor - UPDATED,530,,,,,,,,
TORBLO530,2,1337,2326.0,Yonge & Bloor - UPDATED,530,,,,,,,,
