Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
LAXFLO901,0,800,2400.0,Los Angeles - 444 South Flower Street,13,,,,,,,,
LAXFLO001,0,540.5,2496.5,Los Angeles - 444 South Flower Street,13,,,,,,,,
LAXFLO001,1,540.5,2575.5,Los Angeles - 444 South Flower Street,13,,,,,,,,
LAXFLO001,2,681.5,2575.5,Los Angeles - 444 South Flower Street,13,,,,,,,,
LAXFLO001,3,681.5,2495.5,Los Angeles - 444 South Flower Street,13,,,,,,,,
LAXFLO002,0,681.5,2575.5,Los Angeles - 444 South Flower Street,13,,,,,,,,
LAXFLO002,1,681.5,2711.0,Los Angeles - 444 South Flower Street,13,,,,,,,,
LAXFLO002,2,539.5,2711.0,Los Angeles - 444 South Flower Street,13,,,,,,,,
LAXFLO002,3,540.5,2575.5,Los Angeles - 444 South Flower Street,13,,,,,,,,
LAXFLO003,0,681.5,2711.0,Los Angeles - 444 South Flower Street,13,,,,,,,,
LAXFLO003,1,681.5,2878.0,Los Angeles - 444 South Flower Street,13,,,,,,,,
LAXFLO003,2,539.5,2878.0,Los Angeles - 444 South Flower Street,13,,,,,,,,
LAXFLO003,3,539.5,2711.0,Los Angeles - 444 South Flower Street,13,,,,,,,,
LAXFLO004,0,681.5,2878.0,Los Angeles - 444 South Flower Street,13,,,,,,,,
LAXFLO004,1,681.5,2993.5,Los Angeles - 444 South Flower Street,13,,,,,,,,
LAXFLO004,2,539.5,2993.5,Los Angeles - 444 South Flower Street,13,,,,,,,,
LAXFLO004,3,539.5,2878.0,Los Angeles - 444 South Flower Street,13,,,,,,,,
LAXFLO005,0,681.5,2993.5,Los Angeles - 444 South Flower Street,13,,,,,,,,
LAXFLO005,1,681.5,3014.5,Los Angeles - 444 South Flower Street,13,,,,,,,,
LAXFLO005,2,743.5,3014.5,Los Angeles - 444 South Flower Street,13,,,,,,,,
LAXFLO005,3,743.5,3156.5,Los Angeles - 444 South Flower Street,13,,,,,,,,
LAXFLO005,4,539.5,3156.5,Los Angeles - 444 South Flower Street,13,,,,,,,,
LAXFLO005,5,539.5,2993.5,Los Angeles - 444 South Flower Street,13,,,,,,,,
LAXFLO006,0,835,2726.5,Los Angeles - 444 South Flower Street,13,,,,,,,,
LAXFLO006,1,720,2726.5,Los Angeles - 444 South Flower Street,13,,,,,,,,
LAXFLO006,2,720,2652.5,Los Angeles - 444 South Flower Street,13,,,,,,,,
LAXFLO006,3,834,2653.0,Los Angeles - 444 South Flower Street,13,,,,,,,,
LAXFLO007,0,720,2726.5,Los Angeles - 444 South Flower Street,13,,,,,,,,
LAXFLO007,1,720,2799.0,Los Angeles - 444 South Flower Street,13,,,,,,,,
LAXFLO007,2,834,2799.0,Los Angeles - 444 South Flower Street,13,,,,,,,,
LAXFLO007,3,835,2726.5,Los Angeles - 444 South Flower Street,13,,,,,,,,
LAXFLO008,0,720,2799.0,Los Angeles - 444 South Flower Street,13,,,,,,,,
LAXFLO008,1,720,2876.0,Los Angeles - 444 South Flower Street,13,,,,,,,,
LAXFLO008,2,835,2876.0,Los Angeles - 444 South Flower Street,13,,,,,,,,
LAXFLO008,3,835,2800.0,Los Angeles - 444 South Flower Street,13,,,,,,,,
LAXFLO009,0,720,2876.0,Los Angeles - 444 South Flower Street,13,,,,,,,,
LAXFLO009,1,720,2978.0,Los Angeles - 444 South Flower Street,13,,,,,,,,
LAXFLO009,2,835,2978.0,Los Angeles - 444 South Flower Street,13,,,,,,,,
LAXFLO009,3,835,2876.0,Los Angeles - 444 South Flower Street,13,,,,,,,,
LAXFLO010,0,835,2978.0,Los Angeles - 444 South Flower Street,13,,,,,,,,
LAXFLO010,1,965,2978.0,Los Angeles - 444 South Flower Street,13,,,,,,,,
LAXFLO010,2,965,2875.0,Los Angeles - 444 South Flower Street,13,,,,,,,,
LAXFLO010,3,835,2876.0,Los Angeles - 444 South Flower Street,13,,,,,,,,
LAXFLO011,0,965,2875.0,Los Angeles - 444 South Flower Street,13,,,,,,,,
LAXFLO011,1,965,2798.0,Los Angeles - 444 South Flower Street,13,,,,,,,,
LAXFLO011,2,835,2799.0,Los Angeles - 444 South Flower Street,13,,,,,,,,
