Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
LAXGLE901,0,1073,1909.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE001,0,1287.515625,1875.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE001,1,1484.515625,1875.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE001,2,1484.515625,1653.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE001,3,1288.515625,1653.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE002,0,1484.515625,1875.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE002,1,1699.015625,1875.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE002,2,1699.015625,1653.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE002,3,1484.515625,1653.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE003,0,1699.015625,1875.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE003,1,1912.015625,1875.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE003,2,1912.015625,1653.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE003,3,1699.015625,1653.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE004,0,1707.015625,1933.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE004,1,1707.015625,2053.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE004,2,1566.015625,2053.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE004,3,1566.015625,1933.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE005,0,1707.015625,2053.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE005,1,1707.015625,2225.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE005,2,1457.015625,2225.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE005,3,1457.015625,2055.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE006,0,1780.515625,2136.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE006,1,1952.515625,2136.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE006,2,1952.515625,2036.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE006,3,1778.515625,2036.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE007,0,1778.515625,2036.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE007,1,1778.515625,1931.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE007,2,1952.515625,1931.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE007,3,1952.515625,2036.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE008,0,1952.515625,1931.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE008,1,1997.515625,1947.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE008,2,2035.515625,1975.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE008,3,2061.515625,2007.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE008,4,2083.515625,2049.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE008,5,2090.515625,2084.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE008,6,2090.515625,2165.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE008,7,1954.515625,2165.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE009,0,1912.015625,1653.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE009,1,1948.515625,1653.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE009,2,2030.515625,1666.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE009,3,2120.515625,1703.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE009,4,2176.515625,1738.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE009,5,2234.515625,1787.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE009,6,2273.515625,1831.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE009,7,2309.515625,1876.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE009,8,2115.515625,1987.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE009,9,2086.515625,1949.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE009,10,2034.515625,1905.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE009,11,1977.515625,1881.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE009,12,1911.515625,1876.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE010,0,2115.515625,1987.0,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE010,1,2134.515625,2026.5,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE010,2,2147.515625,2084.5,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE010,3,2147.515625,2261.5,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE010,4,2364.515625,2261.5,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE010,5,2364.515625,2104.5,Glendale - 500 N Brand Blvd,,,,,,,,,
LAXGLE010,6,2364.515625,2078.5,Glendale - 500 N Brand Blvd,,,,,,,,,
