Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
OAKBRO901,0,551,1008.0,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO001,0,229.6770782,930.0,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO001,1,229.6770782,822.222168,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO001,2,311.7881851,822.222168,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO001,3,311.7881851,930.222168,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO002,0,341.7881851,930.222168,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO002,1,341.7881851,834.222168,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO002,2,439.7881851,834.222168,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO002,3,439.7881851,930.222168,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO003,0,439.7881851,834.222168,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO003,1,497.7881851,834.222168,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO003,2,496.7881851,930.222168,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO003,3,439.7881851,930.222168,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO004,0,497.7881851,834.222168,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO004,1,577.6770935,834.222168,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO004,2,577.6770935,931.0,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO004,3,496.7881851,930.222168,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO005,0,581.121521,804.0,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO005,1,581.121521,721.0,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO005,2,444.121521,721.0,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO005,3,445.121521,804.0,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO006,0,445.121521,804.0,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO006,1,342.121521,804.0,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO006,2,343.121521,720.222168,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO006,3,444.121521,721.0,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO007,0,311.7881851,822.222168,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO007,1,311.7881851,713.0,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO007,2,229.121521,713.0,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO007,3,229.6770782,822.222168,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO008,0,311.7881851,713.0,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO008,1,311.7881851,650.0,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO008,2,228.121521,649.0,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO008,3,229.121521,713.0,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO009,0,311.7881851,650.0,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO009,1,311.7881851,586.222168,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO009,2,228.121521,586.222168,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO009,3,228.121521,649.0,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO010,0,342.121521,637.222168,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO010,1,443.121521,637.222168,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO010,2,444.121521,721.0,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO010,3,343.121521,720.222168,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO011,0,443.121521,637.222168,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO011,1,581.121521,637.222168,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO011,2,581.121521,721.0,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO011,3,444.121521,721.0,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO012,0,228.121521,586.222168,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO012,1,228.121521,551.222168,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO012,2,368.121521,467.222168,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO012,3,383.121521,467.222168,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO012,4,383.121521,607.222168,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO012,5,313.121521,607.222168,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO012,6,311.7881851,586.222168,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO013,0,383.121521,607.222168,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO013,1,523.121521,607.222168,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO013,2,523.121521,467.222168,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO013,3,383.121521,467.222168,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO014,0,523.121521,607.222168,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO014,1,641.565979,607.8887939,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO014,2,642.121521,468.222168,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO014,3,523.121521,467.222168,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO015,0,641.565979,607.8887939,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO015,1,756.565979,607.8887939,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO015,2,757.565979,466.8887939,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO015,3,642.121521,468.222168,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO016,0,756.565979,607.8887939,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO016,1,853.565979,607.8887939,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO016,2,855.565979,466.8887939,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO016,3,757.565979,466.8887939,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO017,0,853.565979,607.8887939,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO017,1,939.565979,607.8887939,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO017,2,939.565979,548.8887939,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO017,3,950.565979,548.8887939,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO017,4,950.565979,467.8887939,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO017,5,855.565979,466.8887939,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO018,0,738.6770935,720.555542,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO018,1,803.6770935,720.555542,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO018,2,803.6770935,639.555542,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO018,3,738.6770935,639.555542,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO019,0,803.6770935,639.555542,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO019,1,869.6770935,639.555542,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO019,2,869.6770935,721.555542,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO019,3,803.6770935,720.555542,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO020,0,869.6770935,639.555542,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO020,1,938.6770935,639.555542,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO020,2,937.6770935,721.555542,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO020,3,869.6770935,721.555542,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO021,0,738.6770935,720.555542,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO021,1,738.6770935,804.555542,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO021,2,802.6770935,804.555542,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO021,3,803.6770935,720.555542,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO022,0,802.6770935,804.555542,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO022,1,869.6770935,804.555542,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO022,2,869.6770935,721.555542,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO022,3,803.6770935,720.555542,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO023,0,869.6770935,804.555542,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO023,1,936.6770935,804.555542,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO023,2,937.6770935,721.555542,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO023,3,869.6770935,721.555542,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
OAKBRO023,4,868.6770935,804.555542,Walnut Creek - 1212 Broadway Plaza,,,,,,,,,
